module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.26.mlp.down_proj.weight,0.33499255776405334,0.05078125,0.15234375,0.15234375,0.3167209327220917,0.3168551027774811,0,0,0,0,0
model.layers.26.mlp.gate_proj.weight,0.287078320980072,0.02734375,0.08203125,0.08203125,0.3148864805698395,0.31504112482070923,0,0,0,0,0
model.layers.26.mlp.up_proj.weight,0.28634849190711975,0.025146484375,0.0751953125,0.0751953125,0.3154239058494568,0.31558752059936523,0,0,0,0,0
model.layers.26.self_attn.k_proj.weight,0.3187326192855835,0.0213623046875,0.06396484375,0.06396484375,0.31575441360473633,0.31623005867004395,0,0,1,1,0
model.layers.26.self_attn.o_proj.weight,0.3217276334762573,0.0172119140625,0.057373046875,0.057373046875,0.3237903118133545,0.3242785334587097,0,0,0,0,0
model.layers.26.self_attn.q_proj.weight,0.30572178959846497,0.0150146484375,0.053955078125,0.0537109375,0.3174126148223877,0.3174453377723694,0,0,1,1,0
model.layers.26.self_attn.v_proj.weight,0.2954006493091583,0.0096435546875,0.03271484375,0.03271484375,0.32320117950439453,0.32346296310424805,0,0,1,1,0
model.layers.27.mlp.down_proj.weight,0.33656153082847595,0.029296875,0.134765625,0.134765625,0.3177025616168976,0.3179015517234802,0,0,0,0,0
model.layers.27.mlp.gate_proj.weight,0.2866784632205963,0.0224609375,0.0888671875,0.07861328125,0.3151338994503021,0.315297931432724,0,0,0,0,0
model.layers.27.mlp.up_proj.weight,0.28534314036369324,0.0263671875,0.08154296875,0.0849609375,0.3156595230102539,0.3158431649208069,0,0,0,0,0
model.layers.27.self_attn.k_proj.weight,0.30492153763771057,0.0289306640625,0.062255859375,0.062255859375,0.31520605087280273,0.31528687477111816,0,0,0,0,0
model.layers.27.self_attn.o_proj.weight,0.3249307870864868,0.03759765625,0.1171875,0.12890625,0.3251303434371948,0.3254721760749817,0,0,0,0,0
model.layers.27.self_attn.q_proj.weight,0.30325499176979065,0.026123046875,0.060546875,0.060546875,0.31699997186660767,0.3170790672302246,0,0,0,0,0
model.layers.27.self_attn.v_proj.weight,0.2914249897003174,0.0093994140625,0.033203125,0.033203125,0.3202245235443115,0.32051801681518555,0,0,0,0,0
model.layers.28.mlp.down_proj.weight,0.339247465133667,0.0218505859375,0.1884765625,0.1884765625,0.31898233294487,0.31912893056869507,0,0,0,0,0
model.layers.28.mlp.gate_proj.weight,0.2878910303115845,0.0213623046875,0.0732421875,0.07421875,0.31543901562690735,0.3155629336833954,0,0,0,0,0
model.layers.28.mlp.up_proj.weight,0.28530871868133545,0.0184326171875,0.0732421875,0.07177734375,0.31565243005752563,0.31582337617874146,0,0,0,0,0
model.layers.28.self_attn.k_proj.weight,0.3263980746269226,0.04278564453125,0.054931640625,0.054931640625,0.31688690185546875,0.31701016426086426,0,0,0,0,0
model.layers.28.self_attn.o_proj.weight,0.33224189281463623,0.0194091796875,0.05859375,0.058349609375,0.3264594078063965,0.32689452171325684,0,0,0,0,0
model.layers.28.self_attn.q_proj.weight,0.31111419200897217,0.021728515625,0.05859375,0.06298828125,0.3177499771118164,0.31779080629348755,0,0,0,0,0
model.layers.28.self_attn.v_proj.weight,0.29624637961387634,0.01544189453125,0.042236328125,0.042236328125,0.32334041595458984,0.32385754585266113,0,0,0,0,0
model.layers.29.mlp.down_proj.weight,0.3369629681110382,0.0262451171875,0.11865234375,0.11865234375,0.3204170763492584,0.3206482231616974,0,0,0,0,0
model.layers.29.mlp.gate_proj.weight,0.2875562310218811,0.0263671875,0.09765625,0.09765625,0.3160506784915924,0.31609663367271423,0,0,0,0,0
model.layers.29.mlp.up_proj.weight,0.28533509373664856,0.0242919921875,0.09716796875,0.09375,0.3159928321838379,0.3162185549736023,0,0,0,0,0
model.layers.29.self_attn.k_proj.weight,0.31703925132751465,0.02423095703125,0.06298828125,0.06298828125,0.31746745109558105,0.3175370693206787,0,0,0,0,0
model.layers.29.self_attn.o_proj.weight,0.3396185636520386,0.020263671875,0.060302734375,0.08056640625,0.34358930587768555,0.34451329708099365,0,0,0,0,0
model.layers.29.self_attn.q_proj.weight,0.3133012652397156,0.02349853515625,0.056884765625,0.056884765625,0.319385290145874,0.31940120458602905,0,0,0,0,0
model.layers.29.self_attn.v_proj.weight,0.29018455743789673,0.012451171875,0.0390625,0.041259765625,0.32598400115966797,0.3264584541320801,0,0,0,0,0
model.layers.3.mlp.down_proj.weight,0.33870214223861694,0.035888671875,0.10791015625,0.10791015625,0.31981924176216125,0.32013431191444397,0,0,0,0,0
