layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
34,0.4831,0.4613,0.0647,0.34,0.4533,0.4784,0.6056,0.6966,0.4654,0.885,0.879,0.937,0.973,1.061,1.085,0.926,0.992,1.005,296.7,295.1,5916.2,198.2,194.6,150.3,198.1,184.5,180.9
35,0.4744,0.445,0.0647,0.3374,0.4708,0.4124,0.5907,0.7032,0.4671,0.89,0.883,0.937,0.994,1.067,1.049,0.954,0.979,1.005,325.9,331.7,5915.9,217.0,214.2,192.5,218.9,203.5,201.4
36,0.4827,0.444,0.0648,0.3228,0.488,0.3999,0.5742,0.7218,0.4663,0.868,0.857,0.937,0.991,1.077,1.02,0.983,0.951,1.001,362.5,374.6,5915.5,247.1,236.4,217.2,246.4,226.7,226.6
37,0.4749,0.4366,0.0649,0.334,0.5264,0.3948,0.602,0.7384,0.4707,0.905,0.898,0.937,0.997,1.093,1.0,0.992,0.918,1.001,418.4,432.2,5914.4,269.5,261.9,253.7,266.7,262.0,254.9
38,0.4739,0.4237,0.0664,0.3344,0.5576,0.39,0.6056,0.7309,0.4672,0.889,0.88,0.935,0.99,1.107,0.972,0.94,0.869,0.996,488.5,504.5,5913.1,303.9,286.6,307.5,305.4,305.9,290.6
39,0.4641,0.4087,0.0667,0.3454,0.5843,0.404,0.635,0.74,0.4741,0.881,0.873,0.935,1.007,1.112,0.959,0.944,0.872,0.996,545.1,563.5,5893.7,331.0,312.4,343.4,326.3,335.5,319.9
40,0.4708,0.4166,0.0673,0.3574,0.6214,0.4206,0.6783,0.7627,0.4802,0.887,0.872,0.935,1.021,1.126,0.978,0.939,0.855,0.997,591.8,611.6,5856.1,355.6,337.0,394.3,348.0,373.0,358.6
41,0.4659,0.4069,0.0677,0.3501,0.6499,0.4541,0.7055,0.7661,0.4769,0.863,0.854,0.934,1.024,1.133,0.992,0.952,0.826,0.995,661.2,692.4,5818.6,394.1,365.2,428.1,369.9,420.1,402.5
42,0.4621,0.3981,0.0686,0.3547,0.663,0.4972,0.7371,0.7737,0.4854,0.881,0.869,0.933,1.022,1.112,1.007,0.968,0.828,0.995,707.7,742.4,5744.5,423.6,401.7,470.2,392.2,456.9,439.3
43,0.4656,0.402,0.067,0.3619,0.7005,0.5342,0.7415,0.8026,0.5008,0.875,0.863,0.935,1.018,1.099,1.013,0.958,0.832,0.998,760.9,791.8,5640.4,446.7,429.5,510.1,426.3,488.6,471.4
44,0.4914,0.4209,0.0702,0.3544,0.7165,0.5739,0.7535,0.8251,0.507,0.89,0.868,0.933,1.019,1.088,1.021,0.952,0.831,0.998,778.7,822.2,5534.2,492.0,464.8,552.9,464.3,539.3,521.2
45,0.5313,0.4523,0.0832,0.3569,0.7398,0.6279,0.7827,0.8452,0.5154,0.903,0.882,0.938,1.022,1.089,1.03,0.96,0.833,0.998,800.3,842.9,2693.1,529.8,499.4,587.9,504.4,590.1,575.2
46,0.5409,0.4642,0.0782,0.3577,0.7268,0.6394,0.7567,0.8273,0.5179,0.915,0.882,0.98,1.051,1.067,1.013,0.951,0.861,1.003,890.1,941.3,2107.2,610.4,580.1,684.1,574.0,663.0,645.0
47,0.573,0.4705,0.1958,0.3055,0.596,0.6472,0.6488,0.7427,0.4662,0.887,0.864,0.842,1.053,0.994,1.023,0.887,0.758,0.993,1070.2,1155.2,3010.3,857.3,816.8,802.0,770.8,906.1,848.0
48,0.7629,0.4949,0.4568,0.4529,0.5995,0.7532,1.0004,0.8716,0.593,0.969,0.955,0.985,1.028,0.921,0.958,1.008,0.935,0.995,139.6,169.0,161.1,217.7,215.4,205.6,194.1,211.1,213.6
