layer,head,score
16,9,0.00018374668434262276
16,10,9.151163976639509e-05
16,11,6.548245437443256e-06
16,12,0.00020622392185032368
16,13,5.339749623090029e-05
16,14,0.0012408290058374405
16,15,0.0005098534747958183
16,16,0.00025782082229852676
16,17,0.0004105241969227791
16,18,0.0004715467803180218
16,19,0.0002754470333456993
16,20,0.00014671776443719864
16,21,0.0006338316015899181
16,22,0.0002921205013990402
16,23,0.0005097226239740849
16,24,0.0013089179992675781
16,25,0.00020188326016068459
16,26,0.0006825681775808334
16,27,0.0006643407978117466
17,0,0.0013427096419036388
17,1,0.00099899061024189
17,2,0.0006838822737336159
17,3,0.0027048829942941666
17,4,0.001117311418056488
17,5,0.0012308647856116295
17,6,0.0008635027334094048
17,7,4.84236516058445e-05
17,8,0.00019165151752531528
17,9,0.0008794190362095833
17,10,2.2197593352757394e-05
17,11,0.0003879810683429241
17,12,5.653803236782551e-05
17,13,0.00040254928171634674
17,14,0.0005036818911321461
17,15,0.0008080601692199707
17,16,0.0013886732049286366
17,17,0.0008899918757379055
17,18,0.0003688088618218899
17,19,0.0004883881192654371
17,20,0.0004904763773083687
17,21,0.0006162049248814583
17,22,0.0019110236316919327
17,23,0.0006827237084507942
17,24,0.001186066772788763
17,25,0.0006255940534174442
17,26,0.001179512357339263
17,27,0.0016363076865673065
18,0,0.00029149558395147324
18,1,0.0009525557979941368
18,2,0.00038439640775322914
18,3,0.0010413792915642262
18,4,0.00036696717143058777
18,5,0.0007345261983573437
18,6,0.0011790045537054539
18,7,2.635642886161804e-07
18,8,0.000813155435025692
18,9,0.0005353735759854317
18,10,0.00025258399546146393
18,11,0.0005339591298252344
18,12,0.0003603082150220871
18,13,5.89471310377121e-05
18,14,0.0014598779380321503
18,15,0.0007651429623365402
18,16,0.002579335356131196
18,17,0.0004905173555016518
18,18,0.0001436593011021614
18,19,0.0006534312851727009
18,20,0.0011115893721580505
18,21,0.00021428149193525314
18,22,0.0008565313182771206
18,23,7.928651757538319e-05
18,24,0.0006636912003159523
18,25,0.0002671610563993454
18,26,0.00044321175664663315
18,27,7.570208981633186e-05
19,0,6.090383976697922e-05
19,1,0.0022057509049773216
19,2,0.0011729700490832329
19,3,0.000399548327550292
19,4,0.0008267369121313095
19,5,0.0003727385774254799
19,6,0.0007870923727750778
19,7,0.00015127239748835564
19,8,0.0007741204462945461
19,9,0.00044405064545571804
19,10,0.0001307521015405655
19,11,1.1444091796875e-05
19,12,0.00013936776667833328
19,13,0.0011817673221230507
19,14,0.0012204567901790142
19,15,0.0002509929472580552
19,16,0.000483841635286808
19,17,0.0004346822388470173
19,18,0.0002431417815387249
19,19,0.00036319345235824585
19,20,0.0016876417212188244
19,21,0.0012399242259562016
19,22,0.0005960012786090374
19,23,0.0013224831782281399
19,24,0.0003601023927330971
19,25,0.0009019128046929836
19,26,0.0008598854765295982
19,27,0.0019156439229846
20,0,3.696279600262642e-05
20,1,7.931888103485107e-05
20,2,0.000164031982421875
20,3,0.0013125855475664139
20,4,0.0008553802035748959
20,5,0.0012273462489247322
20,6,0.0006116665899753571
20,7,0.0001669256016612053
20,8,4.626146983355284e-05
20,9,0.00010537274647504091
20,10,0.0005379384383559227
20,11,0.000452366191893816
20,12,0.0004363717744126916
20,13,0.0005051514599472284
20,14,0.0014808918349444866
20,15,0.001270294189453125
20,16,0.001418212428689003
20,17,0.0008045267313718796
20,18,3.528594970703125e-05
20,19,0.0004258155822753906
20,20,0.00044434634037315845
20,21,0.00023157848045229912
20,22,0.0009007295593619347
20,23,0.0009371987544000149
20,24,0.0004996922798454762
20,25,0.0023763589560985565
20,26,0.0007260586135089397
20,27,0.0009092460386455059
21,0,0.002926398068666458
21,1,0.0013761194422841072
21,2,0.0006758836098015308
21,3,0.0010474794544279575
21,4,0.00109774898737669
21,5,0.0048432182520627975
21,6,0.0008910605683922768
21,7,0.00030309578869491816
21,8,5.110353231430054e-05
21,9,7.34988134354353e-05
21,10,0.00035029463469982147
21,11,0.00034818961285054684
21,12,0.0001276605762541294
21,13,0.00036230171099305153
21,14,4.710839129984379e-05
21,15,0.0006965110078454018
21,16,0.0004175780341029167
21,17,0.00025038886815309525
21,18,0.0005886470898985863
21,19,0.0008319327607750893
21,20,0.0006706961430609226
21,21,0.001009579747915268
21,22,0.0004099486395716667
21,23,0.00036173779517412186
21,24,0.000798932509496808
21,25,0.00014102458953857422
21,26,0.0008888901211321354
21,27,0.0005691461265087128
22,0,3.1553441658616066e-05
22,1,0.00022522942163050175
22,2,0.00015386240556836128
22,3,0.0004145852290093899
22,4,0.00022397986322175711
22,5,5.54960424778983e-05
22,6,0.0003006314509548247
22,7,0.0004388340748846531
22,8,0.00042048818431794643
22,9,0.00037818122655153275
22,10,0.00014598621055483818
22,11,0.00019427016377449036
22,12,8.157617412507534e-05
22,13,0.0008794686291366816
22,14,0.0007655955851078033
22,15,0.0004996595089323819
22,16,0.0004210309125483036
22,17,0.000519986730068922
22,18,0.0015561007894575596
22,19,0.0003472687676548958
22,20,0.00040028011426329613
22,21,7.738755084574223e-05
22,22,1.966131094377488e-05
22,23,0.0004796655848622322
22,24,0.00016531441360712051
22,25,0.00033838371746242046
22,26,2.2666295990347862e-05
22,27,0.000874741468578577
23,0,5.3847659728489816e-05
23,1,0.0048252297565341
23,2,0.0030785920098423958
23,3,0.0009361789561808109
23,4,0.00027026800671592355
23,5,0.0014240886084735394
23,6,0.004147430881857872
23,7,0.0006021137814968824
23,8,0.00014186743646860123
23,9,8.576898835599422e-06
23,10,0.0011786429677158594
23,11,0.0024547125212848186
23,12,4.361383616924286e-06
23,13,0.00011783640366047621
23,14,0.0006243772804737091
23,15,7.437227759510279e-05
23,16,0.0005204756744205952
23,17,0.00010515074245631695
23,18,1.5135505236685276e-05
23,19,6.109062815085053e-05
23,20,3.9038946852087975e-05
23,21,0.0004880842752754688
23,22,0.0005242573097348213
23,23,0.0004981136880815029
23,24,0.0013192933984100819
23,25,0.0005138656124472618
23,26,0.00025709765031933784
23,27,0.00027400068938732147
24,0,0.0006014066748321056
24,1,0.0011263880878686905
24,2,9.040161967277527e-05
24,3,0.0010043997317552567
24,4,0.0013585090637207031
24,5,0.0008701127953827381
24,6,0.0008714939467608929
24,7,0.00040933804120868444
24,8,0.0006306747673079371
24,9,0.0006420613499358296
24,10,8.928775787353516e-05
24,11,0.0005582775920629501
24,12,0.0009077666327357292
24,13,0.00023443740792572498
24,14,9.569618850946426e-05
24,15,0.0005169901996850967
24,16,0.0007313038222491741
24,17,0.000637843506410718
24,18,0.0019820313900709152
24,19,0.00010809395462274551
24,20,0.0008528642356395721
24,21,0.00020115962252020836
24,22,0.00030510989017784595
24,23,0.00016556121408939362
24,24,0.00030662212520837784
24,25,5.857297219336033e-05
24,26,0.0003002593293786049
24,27,0.0002598268911242485
25,0,0.0009553185664117336
25,1,0.0012247147969901562
25,2,0.0011474345810711384
25,3,0.0006882902234792709
25,4,0.000205138698220253
25,5,0.0008989535272121429
25,6,0.0012903215829283
25,7,0.0008612747769802809
25,8,0.0002453163033351302
25,9,0.0006269710138440132
25,10,0.0009288501460105181
25,11,0.0005391876911744475
25,12,0.000874375575222075
25,13,0.0012715726625174284
25,14,0.0006237439811229706
25,15,0.0008316370658576488
25,16,0.00011470355093479156
25,17,0.0005049705505371094
25,18,0.00021888501942157745
25,19,0.0004227575846016407
25,20,0.0006017354317009449
25,21,0.001757490448653698
25,22,0.00042106350883841515
25,23,0.0002520742127671838
25,24,0.0003759446553885937
25,25,0.00020234961993992329
25,26,0.0006162379868328571
25,27,0.00032526860013604164
26,0,0.00036095757968723774
26,1,6.402377039194107e-06
26,2,3.3275806345045567e-05
26,3,0.0005695940926671028
26,4,0.00012111052637919784
26,5,0.0015435796231031418
26,6,0.00022432726109400392
26,7,0.0006823869189247489
26,8,0.000928846187889576
26,9,0.0006117532611824572
26,10,0.0013059994671493769
26,11,0.0010624178685247898
26,12,0.0005024303682148457
26,13,0.0007002806523814797
26,14,0.0020916378125548363
26,15,0.0010805499041453004
26,16,0.0005966795142740011
