tag,layer,send_total,clip_frac_mean,obj_ratio_c4,obj_ratio_alt,comp_disp_rel_mean,worst_module
q7,26,1774.0510635375977,0.002059597165371714,0.20219516283349398,0.1996186996194544,0.051298193756163075,down_proj
q7,27,1753.988784790039,0.002060920030604242,0.13571124591523664,0.5455684862172203,0.059142933536778096,down_proj
q14,0,6352.851898193359,0.0020890081496465775,0.1751132719313664,0.3844044055282131,0.05687702382972239,down_proj
q14,1,1417.2551441192627,0.002006344063572152,0.004154350005092827,0.008883966220655102,0.13828466179484794,down_proj
q14,2,2424.298500061035,0.0020432321861307457,0.00516111001313226,0.011181877828013949,0.09013903829695269,down_proj
q14,3,3467.7543029785156,0.0020413835717256737,0.01033923272572277,0.02794838355840851,0.07182081442613931,down_proj
q14,4,2882.2147369384766,0.0020282743342969786,0.0460713406380643,1.8074137691715524,0.06614177707817272,q_proj
q14,5,3286.749397277832,0.002045714363219246,0.06272035997274232,0.1729245345399069,0.039472461686924906,down_proj
q14,6,3322.427406311035,0.002048411697306961,0.08144271765908401,0.224597970924911,0.035797412398845055,down_proj
q14,7,4148.413524627686,0.0020483463024966934,0.11403472837300534,0.36154953688297814,0.0352567114059822,down_proj
q14,8,4264.8606300354,0.0020367617329592426,0.14897980498106386,0.4786768590789786,0.03954283399203342,down_proj
q14,9,3296.689033508301,0.002040573200851521,0.44168324409854787,0.8674155284588188,0.030592169618865878,down_proj
q14,10,3245.5960540771484,0.0020410448911959535,0.45874831061511556,0.8997345533830238,0.028487573455566493,down_proj
q14,11,3332.7416229248047,0.0020362480607613053,0.29434283589878985,0.6279444529545642,0.03132433477672986,down_proj
q14,12,2968.6796913146973,0.0020406616049468834,0.47468570149647793,0.8705492613973475,0.02858591404878031,down_proj
q14,13,2963.9338035583496,0.0020398532524310725,0.47699939009304354,0.9219656678639857,0.029060195306571068,down_proj
q14,14,2879.3688926696777,0.002036137051052517,0.47931894972831424,0.9177194442637242,0.026879080719028305,down_proj
q14,15,2938.013069152832,0.002035214661290406,0.4860230375721697,0.9356536437399078,0.025968614847899724,down_proj
q14,16,3057.1895713806152,0.0020341148578300675,0.4504701631399702,0.903958703671019,0.02830154929870357,down_proj
q14,17,2945.888614654541,0.002041006744223297,0.4564456017574882,0.9176626391976084,0.027089297877893638,down_proj
q14,18,2972.1094551086426,0.002035381377689422,0.4433097414563593,0.903182427944104,0.027511297678672487,down_proj
q14,19,3017.5894775390625,0.0020347391360651247,0.43485658443250874,0.9150692167139908,0.02840534450941912,down_proj
q14,20,3146.3436737060547,0.002034675961449033,0.42675699141650647,0.910819565534427,0.030108050012065447,down_proj
q14,21,2917.2545280456543,0.0020370513673812624,0.4379244498510389,0.9025077569148239,0.026848408157132832,down_proj
q14,22,2971.960983276367,0.002034083371439939,0.43741052343778997,0.9125701196495987,0.027933876704988172,down_proj
q14,23,3059.5993614196777,0.0020326576031074323,0.4497881478837605,0.9355903807038166,0.02788055107718256,down_proj
q14,24,3037.5376892089844,0.0020325469970703123,0.43405756044366156,0.864709453046906,0.028839995556753373,down_proj
q14,25,2965.1720428466797,0.0020384159794560185,0.4366454324573527,0.8702967199685252,0.0293813656165954,down_proj
q14,26,2890.737632751465,0.0020345764563827915,0.44855819017202464,0.8924248506861008,0.027134504611580613,down_proj
q14,27,2946.9262886047363,0.002033911003637566,0.4462546843264284,0.9141909071574851,0.027189682629835416,down_proj
q14,28,3154.732349395752,0.0020305859601056136,0.4320971741355283,0.9469874843097463,0.02861960760904591,down_proj
q14,29,3164.07905960083,0.0020363027582723627,0.41897129387781606,0.9222595835676803,0.029590149287031856,down_proj
q14,30,3185.6588401794434,0.0020367175309115616,0.419835580961164,0.8990729796415248,0.027730016239081872,down_proj
q14,31,3216.1185569763184,0.002037761627681672,0.41040039883009166,0.92428521673584,0.027084129211046765,down_proj
q14,32,3195.7022399902344,0.0020429443682312334,0.4184634907055259,0.9352410614883513,0.029819566057735853,down_proj
q14,33,3291.388572692871,0.0020388997799505003,0.4149559385165925,0.9577425311391515,0.027824142277703485,down_proj
q14,34,3453.7072525024414,0.0020444111092380746,0.40251463895109996,0.9626832308554553,0.030102445522484707,down_proj
q14,35,3616.312286376953,0.002041666141893498,0.3941707408514211,0.916516656097935,0.03150536057686694,down_proj
q14,36,3674.8552322387695,0.0020543250835761825,0.4018153452514745,0.9727331674003629,0.03369088059495075,down_proj
q14,37,3649.3704528808594,0.0020453506550460895,0.410853182411107,0.9879248303898082,0.034693632425354635,down_proj
q14,38,3502.801918029785,0.0020459644378177707,0.4151158002290895,0.9919265440646039,0.0322675308873806,down_proj
q14,39,3545.225028991699,0.0020422421813641903,0.4206289697852357,0.995517254786946,0.030870142343746083,down_proj
q14,40,3608.631103515625,0.0020499749158425303,0.41970995858475213,1.0291231255859343,0.03490924796078276,down_proj
q14,41,3485.355796813965,0.002044108960994337,0.4389668794120217,1.0547767928803835,0.03173192186399513,down_proj
q14,42,3612.7950286865234,0.0020363661347242894,0.4379526253231896,1.0660727593522246,0.03607323069821934,down_proj
q14,43,3701.042526245117,0.002043220075980696,0.4320424179720589,1.0757849727800308,0.03649692178010365,down_proj
q14,44,3169.754425048828,0.0020403957871532943,0.3277517729051696,1.0584476729081282,0.03351598149737399,down_proj
q14,45,3269.5919036865234,0.002040661403111049,0.3135458916038443,0.9884481429432105,0.035631296404225896,down_proj
q14,46,3198.0208129882812,0.0020441265207119088,0.17397401681646862,0.6992147193314899,0.035338914386909476,down_proj
q14,47,2450.9268646240234,0.0020455028392650466,0.06790617234416535,0.45580550232626943,0.0326731717147533,up_proj
