tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
f_l_gptq4,0.7556,0.695,0.7842,0.7301,0.8129,0.6593,9.691,,runs\scores_f_l_gptq4.csv
f_l_gptq4_gwtn,0.7624,0.7043,0.7878,0.7412,0.8165,,,,runs\scores_f_l_gptq4_gwtn.csv
f_l_gptq4_pile,0.7642,0.6969,0.7854,0.7486,0.8261,,,,runs\scores_f_l_gptq4_pile.csv
f_l_gw,0.3289,0.2514,0.3729,0.2847,0.4065,,,,runs\scores_f_l_gw.csv
f_l_gwcap,0.1603,0.1017,0.2038,0.1128,0.223,,,,runs\scores_f_l_gwcap.csv
f_l_gwtn,0.6377,0.5638,0.6691,0.6081,0.7098,0.5139,12.416,,runs\scores_f_l_gwtn.csv
f_l_gwtn_cs1,0.6689,0.6007,0.693,0.647,0.735,,,,runs\scores_f_l_gwtn_cs1.csv
f_l_none,0.1549,0.1035,0.1966,0.1109,0.2086,0.524,22.404,,runs\scores_f_l_none.csv
f_l_pile,0.6178,0.5453,0.6523,0.5841,0.6894,,,,runs\scores_f_l_pile.csv
f_l_pile_gw,0.1398,0.085,0.1918,0.0869,0.1954,,,,runs\scores_f_l_pile_gw.csv
f_l_pile_gwtn,0.6259,0.5453,0.6583,0.5952,0.705,,,,runs\scores_f_l_pile_gwtn.csv
f_l_pile_gwtn_cs1,0.6258,0.549,0.6559,0.597,0.7014,,,,runs\scores_f_l_pile_gwtn_cs1.csv
f_l_rot,0.6483,0.5749,0.6882,0.6118,0.7182,,,,runs\scores_f_l_rot.csv
f_l_rtn01down,0.6321,0.5601,0.6667,0.6026,0.699,0.5559,9.948,,runs\scores_f_l_rtn01down.csv
f_l_rtn3,,,,,,0.4156,15.471,,runs\general_f_l_rtn3.csv
f_l_tnorm,0.6364,0.5582,0.6583,0.6155,0.7134,,,,runs\scores_f_l_tnorm.csv
f_l_ultrachat,0.6729,0.597,0.705,0.6414,0.7482,,,,runs\scores_f_l_ultrachat.csv
f_l_wiki,0.5637,0.475,0.6043,0.5231,0.6523,,,,runs\scores_f_l_wiki.csv
f_m7_c4win,0.1866,0.1257,0.2482,0.1257,0.247,,,,runs\scores_f_m7_c4win.csv
f_m7_c4win_gw,0.4754,0.3937,0.506,0.4455,0.5564,,,,runs\scores_f_m7_c4win_gw.csv
f_m7_c4win_gwtn,0.4334,0.3549,0.4676,0.3919,0.5192,,,,runs\scores_f_m7_c4win_gwtn.csv
f_m7_c4win_gwtn_cs1,0.4235,0.3494,0.4544,0.39,0.5,,,,runs\scores_f_m7_c4win_gwtn_cs1.csv
f_m7_c4win_tnorm,0.1885,0.1275,0.2494,0.1275,0.2494,,,,runs\scores_f_m7_c4win_tnorm.csv
f_m7_gptq4,0.4731,0.39,0.5084,0.4399,0.554,,,,runs\scores_f_m7_gptq4.csv
f_m7_gptq4_gwtn,0.5361,0.4473,0.5743,0.4991,0.6235,,,,runs\scores_f_m7_gptq4_gwtn.csv
f_m7_gwtn,0.4146,0.3383,0.4676,0.3586,0.494,,,,runs\scores_f_m7_gwtn.csv
f_m7_none,0.4534,0.3567,0.4856,0.427,0.5444,,,,runs\scores_f_m7_none.csv
f_ministral_c4win,0.5016,0.4325,0.5396,0.4658,0.5683,,,,runs\scores_f_ministral_c4win.csv
f_ministral_gptq4,0.5772,0.4991,0.6091,0.5471,0.6535,,,,runs\scores_f_ministral_gptq4.csv
f_ministral_gwtn,0.503,0.4233,0.5432,0.4603,0.5851,,,,runs\scores_f_ministral_gwtn.csv
f_ministral_none,0.4812,0.4048,0.5264,0.4362,0.5576,,,,runs\scores_f_ministral_none.csv
f_nemo_c4win,0.515,0.4344,0.548,0.4843,0.5935,,,,runs\scores_f_nemo_c4win.csv
f_nemo_gptq4,0.6184,0.5453,0.6463,0.5915,0.6906,,,,runs\scores_f_nemo_gptq4.csv
f_nemo_gw,0.541,0.4603,0.5779,0.5083,0.6175,,,,runs\scores_f_nemo_gw.csv
f_nemo_gwtn,0.5402,0.4566,0.5743,0.5065,0.6235,,,,runs\scores_f_nemo_gwtn.csv
f_nemo_none,0.4783,0.3937,0.5228,0.4344,0.5624,,,,runs\scores_f_nemo_none.csv
f_nemo_tnorm,0.5369,0.4492,0.5695,0.5065,0.6223,,,,runs\scores_f_nemo_tnorm.csv
f_q14_awq,0.7185,0.6562,0.7386,0.7024,0.777,,,,runs\scores_f_q14_awq.csv
