tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
u4_q3_rtn4,0.5675,0.4991,0.6043,0.5323,0.6343,,,,runs\scores_u4_q3_rtn4.csv
u4_q7_gptq4,0.7393,0.6858,0.7698,0.7116,0.7902,,,,runs\scores_u4_q7_gptq4.csv
u4_q7_rtn4,0.7467,0.6876,0.777,0.719,0.8034,,,,runs\scores_u4_q7_rtn4.csv
u4_qwen3_14b_gptq4,0.4704,0.3789,0.5324,0.4104,0.56,,,,runs\scores_u4_qwen3_14b_gptq4.csv
u4_qwen3_14b_gwtn,0.4636,0.3678,0.512,0.4196,0.5552,,,,runs\scores_u4_qwen3_14b_gwtn.csv
u4_qwen3_14b_rtn4,0.5278,0.4436,0.5779,0.4806,0.6091,,,,runs\scores_u4_qwen3_14b_rtn4.csv
u4_qwen3_8b_gptq4,0.4146,0.3327,0.4724,0.3567,0.4964,,,,runs\scores_u4_qwen3_8b_gptq4.csv
u4_qwen3_8b_rtn4,0.4255,0.3494,0.4916,0.3586,0.5024,,,,runs\scores_u4_qwen3_8b_rtn4.csv
u4_sm_gptq4,0.5223,0.4566,0.5564,0.4898,0.5863,,,,runs\scores_u4_sm_gptq4.csv
u4_sm_rtn4,0.4511,0.3808,0.4916,0.4104,0.5216,,,,runs\scores_u4_sm_rtn4.csv
u4_tulu3_gptq4,0.8256,0.7819,0.8453,0.8059,0.8693,,,,runs\scores_u4_tulu3_gptq4.csv
u4_tulu3_rtn4,0.7926,0.7449,0.8189,0.7671,0.8393,,,,runs\scores_u4_tulu3_rtn4.csv
v2_b2_none,0.1361,0.085,0.1835,0.0887,0.1871,,,,runs_archive/scores\scores_v2_b2_none.csv
v2_b2_randw,0.1385,0.0887,0.1882,0.0887,0.1882,,,,runs_archive/scores\scores_v2_b2_randw.csv
v2_b2_sw,0.1167,0.0702,0.1583,0.0739,0.1643,,,,runs_archive/scores\scores_v2_b2_sw.csv
v2_b2_tacq,0.1334,0.0813,0.1679,0.0961,0.1882,,,,runs_archive/scores\scores_v2_b2_tacq.csv
v2_b2_tacq2pct,0.1255,0.0721,0.1547,0.0943,0.1811,,,,runs_archive/scores\scores_v2_b2_tacq2pct.csv
v2_b2_tacq5pct,0.1274,0.0795,0.1511,0.098,0.1811,,,,runs_archive/scores\scores_v2_b2_tacq5pct.csv
v2_g64tacq,0.723,0.6728,0.7506,0.695,0.7734,,,,runs_archive/scores\scores_v2_g64tacq.csv
v2_heads32,0.6746,0.6137,0.7002,0.6506,0.7338,,,,runs_archive/scores\scores_v2_heads32.csv
v2_heads32_cs1,0.652,0.5804,0.6871,0.6174,0.723,,,,runs_archive/scores\scores_v2_heads32_cs1.csv
v2_heads32_cs2,0.6667,0.6026,0.6894,0.647,0.7278,,,,runs_archive/scores\scores_v2_heads32_cs2.csv
v2_none,0.6717,0.6192,0.705,0.6396,0.723,,,,runs_archive/scores\scores_v2_none.csv
v2_none_cs1,0.6547,0.5933,0.6847,0.6285,0.7122,,,,runs_archive/scores\scores_v2_none_cs1.csv
v2_none_cs2,0.6709,0.6063,0.7002,0.647,0.7302,,,,runs_archive/scores\scores_v2_none_cs2.csv
v2_randw,0.6846,0.6266,0.7122,0.6599,0.7398,,,,runs_archive/scores\scores_v2_randw.csv
v2_randw_cs1,0.7143,0.6599,0.735,0.6987,0.7638,,,,runs_archive/scores\scores_v2_randw_cs1.csv
v2_randw_cs2,0.6673,0.5989,0.6906,0.6433,0.7362,,,,runs_archive/scores\scores_v2_randw_cs2.csv
v2_tacq,0.7018,0.6414,0.7254,0.6802,0.7602,,,,runs_archive/scores\scores_v2_tacq.csv
v2_tacq035,0.6882,0.6396,0.717,0.6599,0.7362,,,,runs_archive/scores\scores_v2_tacq035.csv
v2_tacq_cs1,0.6988,0.634,0.717,0.6839,0.7602,,,,runs_archive/scores\scores_v2_tacq_cs1.csv
v2_tacq_cs2,0.6829,0.61,0.7098,0.6599,0.7518,,,,runs_archive/scores\scores_v2_tacq_cs2.csv
v2f3_calinst,0.6558,0.5823,0.6823,0.6322,0.7266,,,,runs_archive/scores\scores_v2f3_calinst.csv
v2f3_damp5,0.698,0.6414,0.729,0.6673,0.7542,,,,runs_archive/scores\scores_v2f3_damp5.csv
v2f3_gw,0.6475,0.5749,0.6715,0.6266,0.717,,,,runs\scores_v2f3_gw.csv
v2f3_rtn1down,0.6606,0.5933,0.6859,0.6377,0.7254,,,,runs_archive/scores\scores_v2f3_rtn1down.csv
v2f3_tnorm,0.6573,0.5841,0.6835,0.634,0.7278,,,,runs_archive/scores\scores_v2f3_tnorm.csv
v2g22_calchat,0.4929,0.4325,0.5324,0.4529,0.554,,,,runs_archive/scores\scores_v2g22_calchat.csv
v2g22_calinst,0.4497,0.3549,0.4928,0.4104,0.5408,,,,runs_archive/scores\scores_v2g22_calinst.csv
v2g22_damp5,0.5028,0.4233,0.5456,0.4621,0.5803,,,,runs_archive/scores\scores_v2g22_damp5.csv
v2g22_none_cs1,0.4769,0.3919,0.5108,0.4473,0.5576,,,,runs_archive/scores\scores_v2g22_none_cs1.csv
v2g22_tnorm,0.4803,0.4067,0.53,0.4307,0.554,,,,runs_archive/scores\scores_v2g22_tnorm.csv
v2g22_tnorm_cs1,0.5015,0.414,0.5348,0.4732,0.5839,,,,runs_archive/scores\scores_v2g22_tnorm_cs1.csv
v2g29_bos10,0.696,0.6377,0.729,0.6654,0.7518,,,,runs\scores_v2g29_bos10.csv
v2g29_calinst,0.6943,0.6414,0.7302,0.6599,0.7458,,,,runs_archive/scores\scores_v2g29_calinst.csv
v2g29_damp5,0.7066,0.6506,0.741,0.6747,0.7602,,,,runs_archive/scores\scores_v2g29_damp5.csv
v2g29_rtn01down,0.7121,0.6562,0.7446,0.6802,0.7674,,,,runs_archive/scores\scores_v2g29_rtn01down.csv
v2g29_tnorm,0.7339,0.6858,0.7686,0.7006,0.7806,,,,runs_archive/scores\scores_v2g29_tnorm.csv
v2hermes3_gw,0.3647,0.281,0.4017,0.329,0.4472,,,,runs\scores_v2hermes3_gw.csv
v2l321b_calinst,0.3539,0.2754,0.3909,0.3142,0.4353,,,,runs_archive/scores\scores_v2l321b_calinst.csv
v2l321b_damp5,0.3034,0.22,0.3357,0.2717,0.3861,,,,runs_archive/scores\scores_v2l321b_damp5.csv
v2l321b_rtn1down,0.3728,0.2957,0.4221,0.3272,0.446,,,,runs_archive/scores\scores_v2l321b_rtn1down.csv
v2l321b_tnorm,0.3284,0.2532,0.3681,0.2884,0.4041,,,,runs_archive/scores\scores_v2l321b_tnorm.csv
v2l32_bos10,0.4925,0.3956,0.542,0.4436,0.5887,,,,runs\scores_v2l32_bos10.csv
v2l32_calchat,0.6029,0.5268,0.6379,0.5693,0.6775,,,,runs_archive/scores\scores_v2l32_calchat.csv
v2l32_calinst,0.502,0.4104,0.5408,0.4695,0.5875,,,,runs_archive/scores\scores_v2l32_calinst.csv
v2l32_damp5,0.574,0.4917,0.6055,0.5416,0.6571,,,,runs_archive/scores\scores_v2l32_damp5.csv
v2l32_rtn01down,0.5996,0.5323,0.6319,0.5675,0.6667,,,,runs_archive/scores\scores_v2l32_rtn01down.csv
v2l32_tnorm,0.5837,0.4954,0.6259,0.5434,0.6703,,,,runs_archive/scores\scores_v2l32_tnorm.csv
v2l3_calinst,0.5787,0.4806,0.5947,0.5619,0.6775,,,,runs_archive/scores\scores_v2l3_calinst.csv
v2l3_damp5,0.6271,0.5342,0.6367,0.6192,0.7182,,,,runs_archive/scores\scores_v2l3_damp5.csv
v2l3_none_cs1,0.6195,0.5194,0.6247,0.6192,0.7146,,,,runs_archive/scores\scores_v2l3_none_cs1.csv
v2l3_rtn1down,0.6508,0.5564,0.6607,0.6488,0.7374,,,,runs_archive/scores\scores_v2l3_rtn1down.csv
v2l3_tcap10,0.6391,0.549,0.6547,0.6248,0.7278,,,,runs_archive/scores\scores_v2l3_tcap10.csv
v2l3_tnorm,0.585,0.4787,0.5995,0.5712,0.6906,,,,runs_archive/scores\scores_v2l3_tnorm.csv
v2l3_tnorm_cs1,0.6075,0.4917,0.6019,0.6192,0.717,,,,runs_archive/scores\scores_v2l3_tnorm_cs1.csv
v2l4_bos10,0.7446,0.6802,0.7722,0.719,0.807,,,,runs\scores_v2l4_bos10.csv
v2l4_damp0p1,0.7654,0.7098,0.7878,0.7449,0.8189,,,,runs_archive/scores\scores_v2l4_damp0p1.csv
v2l4_gm1,0.6926,0.6266,0.7218,0.6654,0.7566,,,,runs_archive/scores\scores_v2l4_gm1.csv
v2l4_gwtn,0.7341,0.6747,0.7602,0.7079,0.7938,,,,runs\scores_v2l4_gwtn.csv
v2l4_heads32,0.7553,0.6932,0.7818,0.732,0.8141,,,,runs_archive/scores\scores_v2l4_heads32.csv
v2l4_none,0.7454,0.6802,0.7746,0.7209,0.8058,,,,runs_archive/scores\scores_v2l4_none.csv
v2l4_none_cs1,0.7617,0.7043,0.7902,0.7357,0.8165,,,,runs_archive/scores\scores_v2l4_none_cs1.csv
v2l4_none_div,0.7454,0.6802,0.7746,0.7209,0.8058,,,,runs_archive/scores\scores_v2l4_none_div.csv
v2l4_pile,0.7507,0.695,0.7806,0.7227,0.8046,,,,runs\scores_v2l4_pile.csv
v2l4_randw,0.7684,0.7043,0.7914,0.7505,0.8273,,,,runs_archive/scores\scores_v2l4_randw.csv
v2l4_rtn01down,0.7823,0.7227,0.807,0.7616,0.8381,,,,runs_archive/scores\scores_v2l4_rtn01down.csv
v2l4_rtn01down_cs1,0.7556,0.6969,0.7818,0.732,0.8118,,,,runs_archive/scores\scores_v2l4_rtn01down_cs1.csv
v2l4_rtn1down,0.757,0.6969,0.783,0.7338,0.8141,,,,runs_archive/scores\scores_v2l4_rtn1down.csv
v2l4_swrows5,0.7655,0.7116,0.795,0.7375,0.8177,,,,runs\scores_v2l4_swrows5.csv
v2l4_tacq,0.7534,0.6969,0.7866,0.7209,0.8094,,,,runs_archive/scores\scores_v2l4_tacq.csv
v2l4_tnorm,0.7573,0.7006,0.783,0.7338,0.8118,,,,runs_archive/scores\scores_v2l4_tnorm.csv
v2l_asym,0.212,0.1516,0.271,0.1534,0.2722,,,,runs_archive/scores\scores_v2l_asym.csv
v2l_b2_damp5,0.1167,0.0684,0.1451,0.0832,0.1703,,,,runs_archive/scores\scores_v2l_b2_damp5.csv
v2l_b2_none,0.1495,0.0924,0.2002,0.0943,0.211,,,,runs_archive/scores\scores_v2l_b2_none.csv
v2l_c4chat,0.6438,0.5712,0.6739,0.6155,0.7146,,,,runs_archive/scores\scores_v2l_c4chat.csv
v2l_c4chat_div,0.6436,0.5693,0.6739,0.6155,0.7158,,,,runs_archive/scores\scores_v2l_c4chat_div.csv
v2l_c4win,0.6425,0.5675,0.6739,0.6118,0.717,,,,runs\scores_v2l_c4win.csv
v2l_c4win_gwtn,0.64,0.5693,0.6703,0.6118,0.7086,,,,runs\scores_v2l_c4win_gwtn.csv
v2l_c4wrongchat,0.1617,0.1017,0.205,0.1146,0.2254,,,,runs_archive/scores\scores_v2l_c4wrongchat.csv
v2l_c4x1024_d05,0.1436,0.0906,0.1751,0.1072,0.2014,,,,runs\scores_v2l_c4x1024_d05.csv
v2l_c4x1024_d10,0.1476,0.098,0.1894,0.1017,0.2014,,,,runs\scores_v2l_c4x1024_d10.csv
v2l_c4x512,0.1506,0.098,0.2002,0.098,0.2062,,,,runs_archive/scores\scores_v2l_c4x512.csv
v2l_calchat,0.6689,0.5933,0.7002,0.6433,0.7386,,,,runs_archive/scores\scores_v2l_calchat.csv
v2l_calchat_cs1,0.6906,0.6081,0.7158,0.671,0.7674,,,,runs_archive/scores\scores_v2l_calchat_cs1.csv
v2l_calinst,0.6107,0.5323,0.6487,0.5749,0.6871,,,,runs_archive/scores\scores_v2l_calinst.csv
v2l_calwiki,0.6244,0.5342,0.6559,0.5989,0.7086,,,,runs_archive/scores\scores_v2l_calwiki.csv
v2l_calwiki32,0.2455,0.1774,0.289,0.2015,0.3141,,,,runs_archive/scores\scores_v2l_calwiki32.csv
v2l_cols40m,0.6407,0.5767,0.6691,0.6118,0.705,,,,runs_archive/scores\scores_v2l_cols40m.csv
v2l_damp0p01,0.1276,0.0776,0.1679,0.085,0.1799,,,,runs_archive/scores\scores_v2l_damp0p01.csv
v2l_damp0p2,0.1888,0.1238,0.2338,0.1423,0.2554,,,,runs_archive/scores\scores_v2l_damp0p2.csv
v2l_damp0p5,0.1732,0.1091,0.2146,0.1294,0.2398,,,,runs_archive/scores\scores_v2l_damp0p5.csv
v2l_damp1,0.1522,0.0906,0.2014,0.0998,0.217,,,,runs_archive/scores\scores_v2l_damp1.csv
v2l_damp10,0.6564,0.5896,0.6918,0.6211,0.723,,,,runs_archive/scores\scores_v2l_damp10.csv
v2l_damp2,0.5779,0.4991,0.6127,0.5453,0.6547,,,,runs_archive/scores\scores_v2l_damp2.csv
v2l_damp20,0.6763,0.6063,0.6954,0.6599,0.7434,,,,runs_archive/scores\scores_v2l_damp20.csv
v2l_damp3,0.6522,0.5841,0.6835,0.6229,0.7182,,,,runs_archive/scores\scores_v2l_damp3.csv
v2l_damp5,0.6419,0.5638,0.6751,0.6118,0.717,,,,runs_archive/scores\scores_v2l_damp5.csv
v2l_damp50,0.6727,0.6044,0.705,0.6414,0.7398,,,,runs_archive/scores\scores_v2l_damp50.csv
v2l_damp5_cs1,0.6423,0.5841,0.6715,0.61,0.7038,,,,runs_archive/scores\scores_v2l_damp5_cs1.csv
v2l_dropbos,0.5598,0.4658,0.5911,0.536,0.6463,,,,runs_archive/scores\scores_v2l_dropbos.csv
v2l_early,0.1582,0.1035,0.2038,0.1109,0.2146,,,,runs_archive/scores\scores_v2l_early.csv
v2l_early5,0.1513,0.0906,0.1954,0.1035,0.2158,,,,runs_archive/scores\scores_v2l_early5.csv
v2l_fp16b01,0.6465,0.5712,0.6703,0.6229,0.7218,,,,runs_archive/scores\scores_v2l_fp16b01.csv
v2l_fp16mlp03,0.6736,0.6026,0.705,0.6433,0.7434,,,,runs_archive/scores\scores_v2l_fp16mlp03.csv
v2l_fp16top12,0.1222,0.0776,0.1667,0.0776,0.1667,,,,runs_archive/scores\scores_v2l_fp16top12.csv
v2l_g32,0.1775,0.1201,0.223,0.1294,0.2374,,,,runs_archive/scores\scores_v2l_g32.csv
v2l_gm1,0.1727,0.1109,0.229,0.1146,0.2362,,,,runs_archive/scores\scores_v2l_gm1.csv
v2l_gw,0.4302,0.3364,0.4748,0.3845,0.5252,,,,runs\scores_v2l_gw.csv
v2l_gw05,0.1512,0.0887,0.1882,0.1109,0.217,,,,runs\scores_v2l_gw05.csv
v2l_gwcap,0.1594,0.1054,0.2074,0.1128,0.2122,,,,runs\scores_v2l_gwcap.csv
v2l_gwtn,0.6513,0.573,0.6727,0.634,0.7254,0.5223,12.264,,runs\scores_v2l_gwtn.csv
v2l_gwtn_cs1,0.6377,0.5582,0.6631,0.6174,0.7122,,,,runs\scores_v2l_gwtn_cs1.csv
v2l_heads32,0.1645,0.1128,0.2098,0.1146,0.2206,,,,runs_archive/scores\scores_v2l_heads32.csv
v2l_hmag1e5,0.6286,0.5527,0.6595,0.597,0.705,,,,runs_archive/scores\scores_v2l_hmag1e5.csv
v2l_hmag40m,0.6573,0.5786,0.6859,0.6359,0.729,,,,runs_archive/scores\scores_v2l_hmag40m.csv
v2l_mid,0.1546,0.0961,0.1954,0.1109,0.2158,,,,runs_archive/scores\scores_v2l_mid.csv
v2l_nc_c4win,0.6458,0.5749,0.6763,0.6174,0.7146,,,,runs\scores_v2l_nc_c4win.csv
v2l_nc_gwtn,0.6106,0.5231,0.6355,0.5933,0.6906,,,,runs\scores_v2l_nc_gwtn.csv
v2l_nc_none,0.1546,0.1035,0.1954,0.1109,0.2086,,,,runs\scores_v2l_nc_none.csv
v2l_nc_pile,0.6196,0.5471,0.6547,0.586,0.6906,,,,runs\scores_v2l_nc_pile.csv
v2l_noactorder,0.1561,0.0998,0.2026,0.1072,0.2146,,,,runs_archive/scores\scores_v2l_noactorder.csv
v2l_noao_div,0.1561,0.0998,0.2026,0.1072,0.2146,,,,runs_archive/scores\scores_v2l_noao_div.csv
v2l_none,0.1496,0.0924,0.1942,0.1054,0.2062,,,,runs_archive/scores\scores_v2l_none.csv
v2l_none_1bos,0.1583,0.1035,0.1966,0.1183,0.2146,,,,runs_archive/scores\scores_v2l_none_1bos.csv
v2l_none_cs2,0.1584,0.1017,0.193,0.1183,0.2206,,,,runs_archive/scores\scores_v2l_none_cs2.csv
v2l_pile,0.4017,0.3087,0.4412,0.3641,0.4928,,,,runs\scores_v2l_pile.csv
v2l_pile_gw,0.1391,0.0887,0.1775,0.0961,0.1942,,,,runs\scores_v2l_pile_gw.csv
v2l_pile_gwcap,0.3566,0.2625,0.4089,0.3031,0.452,,,,runs\scores_v2l_pile_gwcap.csv
v2l_pile_gwtn,0.6492,0.5823,0.6775,0.6248,0.7122,,,,runs\scores_v2l_pile_gwtn.csv
v2l_pile_gwtn_cs1,0.6753,0.6044,0.7014,0.6543,0.741,,,,runs\scores_v2l_pile_gwtn_cs1.csv
v2l_randw,0.1807,0.1257,0.235,0.1257,0.2362,,,,runs_archive/scores\scores_v2l_randw.csv
v2l_rot_none,0.6406,0.5638,0.6655,0.6211,0.7122,,,,runs_archive/scores\scores_v2l_rot_none.csv
v2l_rot_tacq,0.6675,0.5933,0.6954,0.6414,0.7398,,,,runs_archive/scores\scores_v2l_rot_tacq.csv
v2l_rtn01,0.6073,0.5268,0.6331,0.586,0.6835,,,,runs_archive/scores\scores_v2l_rtn01.csv
v2l_rtn01down,0.6246,0.5397,0.6499,0.6026,0.7062,,,,runs_archive/scores\scores_v2l_rtn01down.csv
v2l_rtn01down_cs1,0.6502,0.5767,0.6727,0.6322,0.7194,0.568,10.043,0.5898,runs_archive/scores\scores_v2l_rtn01down_cs1.csv
v2l_rtn03,0.6186,0.5323,0.6487,0.5896,0.7038,,,,runs_archive/scores\scores_v2l_rtn03.csv
v2l_rtn03mlp,0.6347,0.5527,0.6547,0.6192,0.7122,,,,runs_archive/scores\scores_v2l_rtn03mlp.csv
v2l_rtn0down,0.6286,0.5508,0.6559,0.6026,0.705,,,,runs_archive/scores\scores_v2l_rtn0down.csv
v2l_rtn1down,0.6302,0.5582,0.6619,0.597,0.7038,,,,runs_archive/scores\scores_v2l_rtn1down.csv
v2l_rtnflag,0.1526,0.098,0.193,0.1072,0.2122,,,,runs_archive/scores\scores_v2l_rtnflag.csv
v2l_rtntop24,0.1681,0.1054,0.2302,0.1054,0.2314,,,,runs_archive/scores\scores_v2l_rtntop24.csv
v2l_rtnunflag,0.6146,0.5342,0.6427,0.5896,0.6918,,,,runs_archive/scores\scores_v2l_rtnunflag.csv
v2l_sw_only,0.1625,0.0998,0.223,0.1017,0.2254,,,,runs_archive/scores\scores_v2l_sw_only.csv
v2l_swrows3,0.185,0.1183,0.2506,0.1183,0.253,,,,runs\scores_v2l_swrows3.csv
v2l_swrows5,0.2036,0.1349,0.265,0.1386,0.2758,,,,runs\scores_v2l_swrows5.csv
v2l_tacq,0.6426,0.5693,0.6739,0.6137,0.7134,,,,runs_archive/scores\scores_v2l_tacq.csv
v2l_tacq1e4,0.2464,0.1682,0.2806,0.2107,0.3261,,,,runs_archive/scores\scores_v2l_tacq1e4.csv
v2l_tacq1e5,0.6708,0.5989,0.7026,0.6433,0.7386,,,,runs_archive/scores\scores_v2l_tacq1e5.csv
v2l_tacq1e5_sx,0.6529,0.5749,0.6799,0.6303,0.7266,,,,runs_archive/scores\scores_v2l_tacq1e5_sx.csv
v2l_tacq1e6,0.6649,0.5952,0.693,0.6377,0.7338,,,,runs_archive/scores\scores_v2l_tacq1e6.csv
v2l_tacq1e7,0.6378,0.5693,0.6667,0.61,0.705,,,,runs_archive/scores\scores_v2l_tacq1e7.csv
v2l_tacq_cs1,0.654,0.5786,0.6811,0.6322,0.7242,,,,runs_archive/scores\scores_v2l_tacq_cs1.csv
v2l_tacq_sx,0.6837,0.61,0.717,0.6525,0.7554,,,,runs_archive/scores\scores_v2l_tacq_sx.csv
v2l_tacqc4_1e5,0.6425,0.5675,0.6811,0.6081,0.7134,,,,runs_archive/scores\scores_v2l_tacqc4_1e5.csv
v2l_tcap10,0.1545,0.0924,0.205,0.0998,0.2206,,,,runs_archive/scores\scores_v2l_tcap10.csv
v2l_tcapmed10,0.1526,0.098,0.2002,0.1035,0.2086,,,,runs_archive/scores\scores_v2l_tcapmed10.csv
v2l_tnorm,0.6481,0.5601,0.6739,0.6248,0.7338,,,,runs_archive/scores\scores_v2l_tnorm.csv
v2l_tnorm_cs1,0.6675,0.5933,0.7002,0.6414,0.735,,,,runs_archive/scores\scores_v2l_tnorm_cs1.csv
v2l_tnorm_noao,0.6231,0.5342,0.6427,0.6081,0.7074,,,,runs_archive/scores\scores_v2l_tnorm_noao.csv
v2lg64_none,0.1449,0.0943,0.1954,0.0943,0.1954,,,,runs_archive/scores\scores_v2lg64_none.csv
v2lg64_tacq,0.7034,0.6303,0.7266,0.6858,0.771,,,,runs_archive/scores\scores_v2lg64_tacq.csv
v2m24_calinst,0.7209,0.6543,0.741,0.7043,0.7842,,,,runs_archive/scores\scores_v2m24_calinst.csv
v2m24_damp5,0.6941,0.6285,0.7146,0.6765,0.7566,,,,runs_archive/scores\scores_v2m24_damp5.csv
v2m24_none,0.6978,0.6303,0.7242,0.6765,0.7602,,,,runs_archive/scores\scores_v2m24_none.csv
v2m24_tnorm,0.692,0.6229,0.7182,0.6654,0.7614,,,,runs_archive/scores\scores_v2m24_tnorm.csv
v2m702_none_cs1,0.5068,0.4214,0.5384,0.475,0.5923,,,,runs_archive/scores\scores_v2m702_none_cs1.csv
v2m702_rtn01down,0.4689,0.3752,0.5084,0.4307,0.5612,,,,runs_archive/scores\scores_v2m702_rtn01down.csv
v2m702_rtn01down_cs1,0.5002,0.4177,0.53,0.4713,0.5815,,,,runs_archive/scores\scores_v2m702_rtn01down_cs1.csv
v2m702_tcap10,0.5062,0.4085,0.53,0.4843,0.6019,,,,runs_archive/scores\scores_v2m702_tcap10.csv
v2m702_tcapmed10,0.4576,0.3678,0.5,0.4159,0.5468,,,,runs_archive/scores\scores_v2m702_tcapmed10.csv
v2m702_tnorm,0.4589,0.3715,0.488,0.4307,0.5456,,,,runs_archive/scores\scores_v2m702_tnorm.csv
v2m702_tnorm_cs1,0.466,0.3697,0.4988,0.4381,0.5576,,,,runs_archive/scores\scores_v2m702_tnorm_cs1.csv
v2m7_c4win_gw,0.458,0.3697,0.4856,0.4325,0.5444,,,,runs\scores_v2m7_c4win_gw.csv
v2m7_c4win_gwtn,0.4493,0.3623,0.4964,0.4048,0.5336,,,,runs\scores_v2m7_c4win_gwtn.csv
v2m7_c4win_gwtn_cs1,0.4059,0.3105,0.452,0.3586,0.5024,,,,runs\scores_v2m7_c4win_gwtn_cs1.csv
v2m7_c4win_tnorm,0.1921,0.1275,0.2566,0.1275,0.2566,,,,runs\scores_v2m7_c4win_tnorm.csv
v2m7_nc_c4win,0.1863,0.1257,0.2458,0.1257,0.2482,,,,runs\scores_v2m7_nc_c4win.csv
v2m7v02_calinst,0.4864,0.3937,0.5216,0.451,0.5791,,,,runs_archive/scores\scores_v2m7v02_calinst.csv
v2m7v02_damp5,0.1259,0.0869,0.1619,0.0906,0.1643,,,,runs_archive/scores\scores_v2m7v02_damp5.csv
v2m_bos10,0.439,0.3549,0.4796,0.3974,0.524,,,,runs\scores_v2m_bos10.csv
v2m_calinst,0.4374,0.3494,0.4796,0.3956,0.5252,,,,runs_archive/scores\scores_v2m_calinst.csv
v2m_damp0p001,0.4337,0.3549,0.482,0.3882,0.5096,,,,runs_archive/scores\scores_v2m_damp0p001.csv
v2m_damp0p5,0.1728,0.1109,0.2254,0.1128,0.2422,,,,runs_archive/scores\scores_v2m_damp0p5.csv
v2m_damp0p5_early,0.4367,0.3494,0.4784,0.3937,0.5252,,,,runs_archive/scores\scores_v2m_damp0p5_early.csv
v2m_damp0p5_keep,0.1737,0.1109,0.2278,0.1128,0.2434,,,,runs_archive/scores\scores_v2m_damp0p5_keep.csv
v2m_damp0p5_mid,0.17,0.1091,0.223,0.1165,0.2314,,,,runs_archive/scores\scores_v2m_damp0p5_mid.csv
v2m_damp0p5_noao,0.4723,0.39,0.5036,0.4381,0.5576,,,,runs_archive/scores\scores_v2m_damp0p5_noao.csv
v2m_damp0p5_qk02,0.1797,0.1128,0.2362,0.1238,0.2458,,,,runs_archive/scores\scores_v2m_damp0p5_qk02.csv
v2m_damp0p5_rtn01,0.4234,0.3327,0.4568,0.3956,0.5084,,,,runs_archive/scores\scores_v2m_damp0p5_rtn01.csv
v2m_damp0p5_rtn01down,0.1884,0.1257,0.2518,0.1257,0.2506,,,,runs_archive/scores\scores_v2m_damp0p5_rtn01down.csv
v2m_damp0p5_tnorm,0.4039,0.3235,0.4496,0.3567,0.4856,,,,runs_archive/scores\scores_v2m_damp0p5_tnorm.csv
v2m_damp0p5_vo02,0.4549,0.3734,0.4988,0.4067,0.5408,,,,runs_archive/scores\scores_v2m_damp0p5_vo02.csv
v2m_damp1e6,0.4087,0.3346,0.4424,0.3697,0.488,,,,runs_archive/scores\scores_v2m_damp1e6.csv
v2m_damp2,0.1796,0.1165,0.2266,0.1331,0.2422,,,,runs_archive/scores\scores_v2m_damp2.csv
v2m_damp5,0.1672,0.1091,0.2254,0.1091,0.2254,,,,runs_archive/scores\scores_v2m_damp5.csv
v2m_damp5_noao,0.4917,0.4048,0.5228,0.4603,0.5791,,,,runs_archive/scores\scores_v2m_damp5_noao.csv
v2m_gm1,0.2952,0.2144,0.3465,0.2458,0.3741,,,,runs_archive/scores\scores_v2m_gm1.csv
v2m_ncal8,0.417,0.329,0.4568,0.3808,0.5012,,,,runs_archive/scores\scores_v2m_ncal8.csv
v2m_noao,0.4478,0.3771,0.4868,0.4011,0.5264,,,,runs_archive/scores\scores_v2m_noao.csv
v2m_none,0.4677,0.3789,0.4976,0.4381,0.5564,,,,runs_archive/scores\scores_v2m_none.csv
v2m_none_cs1,0.459,0.3808,0.494,0.4251,0.536,,,,runs_archive/scores\scores_v2m_none_cs1.csv
v2m_none_keep,0.4685,0.3808,0.4988,0.4381,0.5564,,,,runs_archive/scores\scores_v2m_none_keep.csv
v2m_tacq,0.5003,0.4104,0.5324,0.4732,0.5851,,,,runs_archive/scores\scores_v2m_tacq.csv
v2m_tcap10,0.448,0.3604,0.4856,0.4122,0.5336,,,,runs_archive/scores\scores_v2m_tcap10.csv
v2m_tcapmed10,0.4139,0.3235,0.4508,0.3789,0.5024,,,,runs_archive/scores\scores_v2m_tcapmed10.csv
v2m_tcapmed10_noao,0.4953,0.4159,0.5324,0.4621,0.5707,,,,runs_archive/scores\scores_v2m_tcapmed10_noao.csv
v2m_tnorm,0.4461,0.3567,0.4928,0.4011,0.5336,,,,runs_archive/scores\scores_v2m_tnorm.csv
v2m_tnorm_cs1,0.3902,0.3105,0.4448,0.3364,0.4688,,,,runs_archive/scores\scores_v2m_tnorm_cs1.csv
v2m_tnorm_noao,0.4448,0.3586,0.4832,0.4085,0.5288,,,,runs_archive/scores\scores_v2m_tnorm_noao.csv
v2nemo4_none,0.6026,0.5342,0.6355,0.5693,0.6715,,,,runs_archive/scores\scores_v2nemo4_none.csv
v2nemo4_none_cs1,0.6153,0.549,0.6451,0.586,0.6811,,,,runs_archive/scores\scores_v2nemo4_none_cs1.csv
v2nemo4_rtn01down,0.6261,0.549,0.6571,0.597,0.7014,,,,runs_archive/scores\scores_v2nemo4_rtn01down.csv
v2nemo4_rtn01down_cs1,0.6298,0.5527,0.6583,0.6044,0.7038,,,,runs_archive/scores\scores_v2nemo4_rtn01down_cs1.csv
