tag,layer,head,A,delta
fp16,9,15,0.006441774,0.0
fp16,9,16,0.011619305,0.0
fp16,9,17,0.0032400591,0.0
fp16,9,18,0.002876808,0.0
fp16,9,19,0.0030321253,0.0
fp16,9,20,0.0059106103,0.0
fp16,9,21,0.0096726585,0.0
fp16,9,22,0.006447677,0.0
fp16,9,23,0.013245353,0.0
fp16,9,24,0.0067082765,0.0
fp16,9,25,0.005509064,0.0
fp16,9,26,0.0023235125,0.0
fp16,9,27,0.011888307,0.0
fp16,10,0,0.0016662253,0.0
fp16,10,1,0.008982165,0.0
fp16,10,2,0.006444216,0.0
fp16,10,3,0.0010605475,0.0
fp16,10,4,0.0040170075,0.0
fp16,10,5,0.0039091767,0.0
fp16,10,6,0.011653341,0.0
fp16,10,7,0.003012838,0.0
fp16,10,8,0.0069374875,0.0
fp16,10,9,0.0075673726,0.0
fp16,10,10,0.0032191442,0.0
fp16,10,11,0.008436927,0.0
fp16,10,12,0.0034119836,0.0
fp16,10,13,0.009867438,0.0
fp16,10,14,0.0066398093,0.0
fp16,10,15,0.0059852763,0.0
fp16,10,16,0.004494634,0.0
fp16,10,17,0.0063991137,0.0
fp16,10,18,0.015711883,0.0
fp16,10,19,0.009664437,0.0
fp16,10,20,0.0059013036,0.0
fp16,10,21,0.0017100367,0.0
fp16,10,22,0.0062936256,0.0
fp16,10,23,0.0046585677,0.0
fp16,10,24,0.014493745,0.0
fp16,10,25,0.0077480776,0.0
fp16,10,26,0.0073540127,0.0
fp16,10,27,0.0021729758,0.0
fp16,11,0,0.0072839838,0.0
fp16,11,1,0.008261187,0.0
fp16,11,2,0.0019502825,0.0
fp16,11,3,0.0040130285,0.0
fp16,11,4,0.0050055715,0.0
fp16,11,5,0.007892871,0.0
fp16,11,6,0.008154047,0.0
fp16,11,7,0.0053704893,0.0
fp16,11,8,0.001910818,0.0
fp16,11,9,0.0072911526,0.0
fp16,11,10,0.005036017,0.0
fp16,11,11,0.0040369774,0.0
fp16,11,12,0.0012902268,0.0
fp16,11,13,0.0025661609,0.0
fp16,11,14,0.004398938,0.0
fp16,11,15,0.0062791724,0.0
fp16,11,16,0.009485902,0.0
fp16,11,17,0.009188356,0.0
fp16,11,18,0.009882697,0.0
fp16,11,19,0.00314946,0.0
fp16,11,20,0.0032568634,0.0
fp16,11,21,0.016735407,0.0
fp16,11,22,0.007785797,0.0
fp16,11,23,0.010789016,0.0
fp16,11,24,0.010126986,0.0
fp16,11,25,0.010131705,0.0
fp16,11,26,0.006722796,0.0
fp16,11,27,0.006735818,0.0
fp16,12,0,0.012783445,0.0
fp16,12,1,0.004182487,0.0
fp16,12,2,0.007225086,0.0
fp16,12,3,0.00836642,0.0
fp16,12,4,0.0061544385,0.0
fp16,12,5,0.0065327347,0.0
fp16,12,6,0.0027965861,0.0
fp16,12,7,0.0037258186,0.0
fp16,12,8,0.007956604,0.0
fp16,12,9,0.0088952165,0.0
fp16,12,10,0.0072356667,0.0
fp16,12,11,0.005687122,0.0
fp16,12,12,0.004698153,0.0
fp16,12,13,0.005534468,0.0
fp16,12,14,0.0055555063,0.0
fp16,12,15,0.00509243,0.0
fp16,12,16,0.0040258127,0.0
fp16,12,17,0.0070435097,0.0
fp16,12,18,0.004272231,0.0
fp16,12,19,0.0018968089,0.0
fp16,12,20,0.004595888,0.0
fp16,12,21,0.006757506,0.0
fp16,12,22,0.008192621,0.0
fp16,12,23,0.009642042,0.0
fp16,12,24,0.007059278,0.0
fp16,12,25,0.0031597367,0.0
fp16,12,26,0.008391019,0.0
fp16,12,27,0.002055723,0.0
fp16,13,0,0.0066578304,0.0
fp16,13,1,0.010803223,0.0
fp16,13,2,0.0092912875,0.0
fp16,13,3,0.004516988,0.0
fp16,13,4,0.00989872,0.0
fp16,13,5,0.0061802454,0.0
fp16,13,6,0.0028229582,0.0
fp16,13,7,0.004951214,0.0
fp16,13,8,0.005496913,0.0
fp16,13,9,0.0056056976,0.0
fp16,13,10,0.005914425,0.0
fp16,13,11,0.0072135925,0.0
fp16,13,12,0.010662539,0.0
fp16,13,13,0.011555507,0.0
fp16,13,14,0.004691535,0.0
fp16,13,15,0.0058968645,0.0
fp16,13,16,0.009164267,0.0
fp16,13,17,0.009105189,0.0
fp16,13,18,0.011256514,0.0
fp16,13,19,0.011394896,0.0
fp16,13,20,0.016179973,0.0
fp16,13,21,0.005189649,0.0
fp16,13,22,0.0050803875,0.0
fp16,13,23,0.01003831,0.0
fp16,13,24,0.0036103704,0.0
fp16,13,25,0.009883421,0.0
fp16,13,26,0.010587922,0.0
fp16,13,27,0.006760466,0.0
fp16,14,0,0.00047334514,0.0
fp16,14,1,0.001479449,0.0
fp16,14,2,0.0021959501,0.0
fp16,14,3,0.0017940423,0.0
fp16,14,4,8.788602e-06,0.0
fp16,14,5,3.0850542e-06,0.0
fp16,14,6,0.0010315982,0.0
fp16,14,7,3.535583e-05,0.0
fp16,14,8,0.0015379684,0.0
fp16,14,9,0.004490556,0.0
fp16,14,10,0.005163649,0.0
fp16,14,11,0.008995705,0.0
fp16,14,12,0.006740011,0.0
fp16,14,13,0.008304473,0.0
fp16,14,14,0.0042683957,0.0
fp16,14,15,0.005385399,0.0
fp16,14,16,0.0029637443,0.0
fp16,14,17,0.007438331,0.0
fp16,14,18,0.0008094804,0.0
fp16,14,19,0.0047074514,0.0
fp16,14,20,0.010356574,0.0
fp16,14,21,0.0067817094,0.0
fp16,14,22,0.0060474626,0.0
fp16,14,23,0.0049581197,0.0
fp16,14,24,0.0043828487,0.0
fp16,14,25,0.010842685,0.0
fp16,14,26,0.0061316327,0.0
fp16,14,27,0.009751945,0.0
fp16,15,0,0.004362246,0.0
fp16,15,1,0.0021565969,0.0
fp16,15,2,0.004731844,0.0
fp16,15,3,0.006393038,0.0
fp16,15,4,0.0025943825,0.0
fp16,15,5,0.006146546,0.0
fp16,15,6,0.0052562254,0.0
fp16,15,7,0.004871623,0.0
fp16,15,8,0.006276657,0.0
fp16,15,9,0.0042929486,0.0
fp16,15,10,0.004954971,0.0
fp16,15,11,0.009129163,0.0
fp16,15,12,0.006457592,0.0
fp16,15,13,0.008638777,0.0
fp16,15,14,0.002024408,0.0
fp16,15,15,0.0008334045,0.0
fp16,15,16,0.0029844744,0.0
fp16,15,17,0.0031445439,0.0
fp16,15,18,0.00015520639,0.0
fp16,15,19,0.0010640128,0.0
fp16,15,20,0.0017198201,0.0
fp16,15,21,0.0077596204,0.0
fp16,15,22,0.0040411456,0.0
fp16,15,23,0.009551739,0.0
fp16,15,24,0.0041523967,0.0
fp16,15,25,0.0033075563,0.0
fp16,15,26,0.0051595755,0.0
fp16,15,27,0.006980288,0.0
fp16,16,0,0.005420101,0.0
fp16,16,1,0.008708674,0.0
fp16,16,2,0.0067211348,0.0
fp16,16,3,0.0027786698,0.0
fp16,16,4,0.0057714437,0.0
fp16,16,5,0.0055169403,0.0
fp16,16,6,0.009335288,0.0
fp16,16,7,0.0055531715,0.0
fp16,16,8,0.0059966547,0.0
fp16,16,9,0.0021041343,0.0
fp16,16,10,0.0011972476,0.0
fp16,16,11,0.0019497665,0.0
fp16,16,12,0.0022856614,0.0
fp16,16,13,0.001068405,0.0
fp16,16,14,0.012831458,0.0
fp16,16,15,0.009540163,0.0
fp16,16,16,0.008825335,0.0
fp16,16,17,0.005655782,0.0
fp16,16,18,0.004322455,0.0
fp16,16,19,0.010352036,0.0
fp16,16,20,0.009977152,0.0
fp16,16,21,0.006526355,0.0
fp16,16,22,0.0050379983,0.0
fp16,16,23,0.006374425,0.0
fp16,16,24,0.003656338,0.0
fp16,16,25,0.0066651967,0.0
fp16,16,26,0.013237131,0.0
fp16,16,27,0.0067282626,0.0
fp16,17,0,0.0052456753,0.0
fp16,17,1,0.007926546,0.0
fp16,17,2,0.013176129,0.0
fp16,17,3,0.0093052965,0.0
fp16,17,4,0.007960616,0.0
fp16,17,5,0.0048369374,0.0
fp16,17,6,0.008458548,0.0
fp16,17,7,0.0026125743,0.0
fp16,17,8,0.001816244,0.0
fp16,17,9,0.009973526,0.0
fp16,17,10,0.00021974588,0.0
fp16,17,11,0.00553506,0.0
fp16,17,12,0.0026191843,0.0
fp16,17,13,0.0027769024,0.0
fp16,17,14,0.001404787,0.0
fp16,17,15,0.0018127171,0.0
fp16,17,16,0.0036326936,0.0
fp16,17,17,0.004221086,0.0
fp16,17,18,0.0017502246,0.0
fp16,17,19,0.0010738845,0.0
fp16,17,20,0.0012180826,0.0
fp16,17,21,0.004670209,0.0
fp16,17,22,0.009823018,0.0
fp16,17,23,0.0049029957,0.0
fp16,17,24,0.007896999,0.0
fp16,17,25,0.0045488374,0.0
fp16,17,26,0.0037539417,0.0
fp16,17,27,0.009852113,0.0
fp16,18,0,0.01052304,0.0
fp16,18,1,0.004677378,0.0
fp16,18,2,0.00522824,0.0
fp16,18,3,0.006400306,0.0
fp16,18,4,0.0046597514,0.0
fp16,18,5,0.0073222457,0.0
fp16,18,6,0.0055799154,0.0
fp16,18,7,0.014249868,0.0
fp16,18,8,0.008785577,0.0
fp16,18,9,0.009998519,0.0
fp16,18,10,0.007835618,0.0
fp16,18,11,0.0043564914,0.0
fp16,18,12,0.0036917883,0.0
fp16,18,13,0.0047174813,0.0
fp16,18,14,0.010200895,0.0
fp16,18,15,0.0066798804,0.0
fp16,18,16,0.005572648,0.0
fp16,18,17,0.009076086,0.0
fp16,18,18,0.008694649,0.0
fp16,18,19,0.006177869,0.0
fp16,18,20,0.011970224,0.0
fp16,18,21,0.009576337,0.0
fp16,18,22,0.0047253575,0.0
fp16,18,23,0.0023524514,0.0
fp16,18,24,0.008575177,0.0
fp16,18,25,0.011990382,0.0
fp16,18,26,0.0062213438,0.0
fp16,18,27,0.0076307757,0.0
fp16,19,0,0.013922066,0.0
fp16,19,1,0.008042171,0.0
fp16,19,2,0.01234538,0.0
fp16,19,3,0.0020274129,0.0
fp16,19,4,0.016737577,0.0
fp16,19,5,0.00800386,0.0
fp16,19,6,0.016073836,0.0
fp16,19,7,0.005535915,0.0
fp16,19,8,0.0038395915,0.0
fp16,19,9,0.0033642012,0.0
fp16,19,10,0.005470539,0.0
fp16,19,11,0.009095553,0.0
fp16,19,12,0.0071837325,0.0
fp16,19,13,0.008152994,0.0
fp16,19,14,0.0036357106,0.0
fp16,19,15,0.0017646757,0.0
fp16,19,16,0.009390272,0.0
fp16,19,17,0.004650831,0.0
fp16,19,18,0.0010442425,0.0
fp16,19,19,0.008590131,0.0
fp16,19,20,0.004508841,0.0
fp16,19,21,0.005896437,0.0
fp16,19,22,0.00620851,0.0
fp16,19,23,0.0062905345,0.0
fp16,19,24,0.0035213726,0.0
fp16,19,25,0.0041962,0.0
fp16,19,26,0.0065210275,0.0
fp16,19,27,0.010545262,0.0
fp16,20,0,0.0055732396,0.0
fp16,20,1,0.011331296,0.0
fp16,20,2,0.00815648,0.0
fp16,20,3,0.010410046,0.0
fp16,20,4,0.0071106288,0.0
fp16,20,5,0.010047058,0.0
fp16,20,6,0.009627901,0.0
fp16,20,7,0.0057029068,0.0
fp16,20,8,0.0017343719,0.0
fp16,20,9,0.0015514144,0.0
fp16,20,10,0.0051560733,0.0
fp16,20,11,0.0020789073,0.0
fp16,20,12,0.0015020453,0.0
fp16,20,13,0.0032186836,0.0
fp16,20,14,0.008086501,0.0
fp16,20,15,0.006491661,0.0
fp16,20,16,0.0074853897,0.0
fp16,20,17,0.0113439355,0.0
fp16,20,18,0.014313139,0.0
fp16,20,19,0.0044216206,0.0
fp16,20,20,0.0035906495,0.0
fp16,20,21,0.0062231193,0.0
fp16,20,22,0.015347119,0.0
fp16,20,23,0.005528779,0.0
fp16,20,24,0.004238589,0.0
fp16,20,25,0.0090166945,0.0
fp16,20,26,0.00475086,0.0
fp16,20,27,0.0056391256,0.0
fp16,21,0,0.01578456,0.0
fp16,21,1,0.01389931,0.0
fp16,21,2,0.0039576334,0.0
fp16,21,3,0.0034064096,0.0
fp16,21,4,0.004771582,0.0
fp16,21,5,0.0102785705,0.0
fp16,21,6,0.01306889,0.0
fp16,21,7,0.0016721528,0.0
fp16,21,8,0.004095735,0.0
fp16,21,9,0.003503931,0.0
fp16,21,10,0.0036614845,0.0
fp16,21,11,0.0038740716,0.0
fp16,21,12,0.0060114367,0.0
fp16,21,13,0.0011479567,0.0
fp16,21,14,0.0037191818,0.0
fp16,21,15,0.009245971,0.0
fp16,21,16,0.004974086,0.0
fp16,21,17,0.0058216886,0.0
fp16,21,18,0.005149381,0.0
fp16,21,19,0.0084442925,0.0
fp16,21,20,0.0062526506,0.0
fp16,21,21,0.009881513,0.0
fp16,21,22,0.0054539153,0.0
fp16,21,23,0.013587163,0.0
fp16,21,24,0.0026881695,0.0
fp16,21,25,0.0023744558,0.0
fp16,21,26,0.004174298,0.0
fp16,21,27,0.0030933907,0.0
fp16,22,0,0.002896276,0.0
fp16,22,1,0.0015656373,0.0
fp16,22,2,0.0041166665,0.0
fp16,22,3,0.0021881296,0.0
fp16,22,4,0.00013972768,0.0
fp16,22,5,0.00024374189,0.0
fp16,22,6,0.00060594286,0.0
fp16,22,7,0.0032368363,0.0
fp16,22,8,0.002826,0.0
fp16,22,9,0.0073867007,0.0
fp16,22,10,0.00266917,0.0
fp16,22,11,0.004287917,0.0
fp16,22,12,0.003537626,0.0
fp16,22,13,0.003507417,0.0
fp16,22,14,0.010198651,0.0
fp16,22,15,0.0013949912,0.0
fp16,22,16,0.006661744,0.0
fp16,22,17,0.001727842,0.0
fp16,22,18,0.0077892174,0.0
fp16,22,19,0.008930502,0.0
fp16,22,20,0.0070844027,0.0
fp16,22,21,0.002103263,0.0
fp16,22,22,0.00013251345,0.0
fp16,22,23,0.007969691,0.0
fp16,22,24,0.0029336172,0.0
fp16,22,25,0.0020342427,0.0
fp16,22,26,0.0038527786,0.0
fp16,22,27,0.0049792486,0.0
fp16,23,0,0.00021958968,0.0
fp16,23,1,0.014165812,0.0
fp16,23,2,0.0067245876,0.0
fp16,23,3,0.0051471363,0.0
fp16,23,4,0.00087333546,0.0
fp16,23,5,0.004977136,0.0
fp16,23,6,0.013533231,0.0
fp16,23,7,0.0024368188,0.0
fp16,23,8,0.0026191184,0.0
fp16,23,9,0.00097101927,0.0
fp16,23,10,0.004731902,0.0
fp16,23,11,0.0050699115,0.0
fp16,23,12,0.0011637724,0.0
fp16,23,13,0.0014043718,0.0
fp16,23,14,0.0027763597,0.0
fp16,23,15,0.00148848,0.0
fp16,23,16,0.0037807268,0.0
fp16,23,17,0.002358971,0.0
fp16,23,18,0.001156696,0.0
fp16,23,19,0.0005547733,0.0
fp16,23,20,0.0010857952,0.0
fp16,23,21,0.0049581197,0.0
fp16,23,22,0.009959846,0.0
fp16,23,23,0.0065153386,0.0
fp16,23,24,0.00537846,0.0
fp16,23,25,0.006879412,0.0
fp16,23,26,0.0054782997,0.0
fp16,23,27,0.008162202,0.0
fp16,24,0,0.0045773736,0.0
fp16,24,1,0.0038988837,0.0
fp16,24,2,0.0063046752,0.0
fp16,24,3,0.0062898933,0.0
fp16,24,4,0.005052616,0.0
fp16,24,5,0.0031779716,0.0
fp16,24,6,0.005471295,0.0
fp16,24,7,0.0018252094,0.0
fp16,24,8,0.002227323,0.0
fp16,24,9,0.0024318038,0.0
fp16,24,10,0.0012813293,0.0
fp16,24,11,0.0027627123,0.0
fp16,24,12,0.004887351,0.0
fp16,24,13,0.0027405662,0.0
fp16,24,14,0.004130462,0.0
fp16,24,15,0.010019796,0.0
fp16,24,16,0.0057038274,0.0
fp16,24,17,0.0045271576,0.0
fp16,24,18,0.011891957,0.0
fp16,24,19,0.0036544472,0.0
fp16,24,20,0.0044628014,0.0
fp16,24,21,0.0016444058,0.0
fp16,24,22,0.0034401992,0.0
fp16,24,23,0.0018376482,0.0
fp16,24,24,0.00801879,0.0
fp16,24,25,0.0019516493,0.0
fp16,24,26,0.0019256822,0.0
fp16,24,27,0.0075634923,0.0
fp16,25,0,0.006833504,0.0
fp16,25,1,0.004320704,0.0
fp16,25,2,0.007549549,0.0
fp16,25,3,0.008653147,0.0
fp16,25,4,0.007973901,0.0
fp16,25,5,0.007389595,0.0
fp16,25,6,0.0031125627,0.0
fp16,25,7,0.0032502783,0.0
fp16,25,8,0.0016593193,0.0
fp16,25,9,0.00063832465,0.0
fp16,25,10,0.0012853967,0.0
fp16,25,11,0.0011613452,0.0
fp16,25,12,0.0016468106,0.0
fp16,25,13,0.0017605692,0.0
fp16,25,14,0.004764524,0.0
fp16,25,15,0.0063387444,0.0
fp16,25,16,0.011405287,0.0
fp16,25,17,0.0083401445,0.0
fp16,25,18,0.007563887,0.0
fp16,25,19,0.005917056,0.0
fp16,25,20,0.0071946504,0.0
fp16,25,21,0.004017205,0.0
fp16,25,22,0.0031617922,0.0
fp16,25,23,0.0010128596,0.0
fp16,25,24,0.00392631,0.0
fp16,25,25,0.0020549237,0.0
fp16,25,26,0.006091907,0.0
fp16,25,27,0.007913721,0.0
fp16,26,0,0.0010011464,0.0
fp16,26,1,0.00061303173,0.0
fp16,26,2,0.0010136694,0.0
fp16,26,3,0.0025401772,0.0
fp16,26,4,0.0010076063,0.0
fp16,26,5,0.0043940214,0.0
fp16,26,6,0.00091159757,0.0
fp16,26,7,0.0012073434,0.0
fp16,26,8,0.003835267,0.0
fp16,26,9,0.0007094412,0.0
fp16,26,10,0.0016189362,0.0
fp16,26,11,0.0035215328,0.0
fp16,26,12,0.0019732774,0.0
fp16,26,13,0.0009975166,0.0
fp16,26,14,0.0028364412,0.0
fp16,26,15,0.0018090667,0.0
fp16,26,16,0.0029165251,0.0
fp16,26,17,0.0007323232,0.0
fp16,26,18,0.0007260113,0.0
fp16,26,19,0.0007229694,0.0
fp16,26,20,0.0014449152,0.0
fp16,26,21,0.008751047,0.0
fp16,26,22,0.01027469,0.0
fp16,26,23,0.009933472,0.0
