prompt,dW,T,n_tpl,L0,q_full,q_diag,q_diag_std,ratio_full_over_diag,first_order,finite_diff,q_diag_tpl,q_diag_ord
5,rtn,109,8,414.98919677734375,-5.144293785095215,1.1841737031936646,9.625252723693848,-4.344205390831835,-10.819178581237793,0.55755615234375,nan,nan
5,random,109,8,414.98919677734375,538.6180419921875,244.49612426757812,311.9101867675781,2.202971697836488,-70.26042938232422,4.638458251953125,nan,nan
6,lesion,78,8,356.1180725097656,-149.82260131835938,-474.8227233886719,229.74024963378906,-149822601318359.38,38.558631896972656,21.892791748046875,-191.35914611816406,-138.69842529296875
6,rtn,78,8,356.1180725097656,-6.151186943054199,3.0357916355133057,9.703923225402832,-2.0262217179520388,-4.282834529876709,8.476318359375,nan,nan
6,random,78,8,356.1180725097656,277.7654724121094,71.95140075683594,125.31632995605469,3.8604595531202293,-45.48858642578125,23.081695556640625,nan,nan
7,lesion,81,8,412.34039306640625,-144.33126831054688,-460.8808898925781,157.31536865234375,-144331268310546.88,31.864044189453125,14.8201904296875,-195.26358032226562,-209.99224853515625
7,rtn,81,8,412.34039306640625,-5.861641883850098,0.10249793529510498,5.850584983825684,-57.18790204869652,-12.250226974487305,-1.300537109375,nan,nan
7,random,81,8,412.34039306640625,377.3813171386719,143.26004028320312,206.9104461669922,2.6342399205853,-70.19624328613281,-28.775482177734375,nan,nan
8,lesion,53,8,270.9464111328125,-123.85896301269531,-295.4627380371094,212.25527954101562,-123858963012695.31,26.416858673095703,14.739013671875,-197.51873779296875,-156.57763671875
8,rtn,53,8,270.9464111328125,-12.835851669311523,-4.765170097351074,3.0500330924987793,-12835851669311.523,-9.690171241760254,-0.494476318359375,nan,nan
8,random,53,8,270.9464111328125,295.4796447753906,180.84136962890625,191.5414581298828,1.633916207235804,-39.53617477416992,-6.64013671875,nan,nan
9,lesion,81,8,364.7851257324219,-113.06619262695312,-219.91107177734375,163.19468688964844,-113066192626953.12,26.20931625366211,13.64263916015625,-199.64572143554688,-100.55567932128906
9,rtn,81,8,364.7851257324219,-9.56142807006836,-2.825079917907715,9.619219779968262,-9561428070068.36,-11.773523330688477,-2.566864013671875,nan,nan
9,random,81,8,364.7851257324219,343.3519592285156,154.53952026367188,206.34043884277344,2.221774460297898,-31.729524612426758,-8.38592529296875,nan,nan
10,lesion,56,8,271.4167785644531,-120.54705810546875,-315.8334655761719,259.8243713378906,-120547058105468.75,27.015392303466797,8.57269287109375,-190.79696655273438,-72.45993041992188
10,rtn,56,8,271.4167785644531,-13.684102058410645,-2.839956760406494,5.9227166175842285,-13684102058410.645,-7.835005760192871,-2.985870361328125,nan,nan
10,random,56,8,271.4167785644531,321.36285400390625,10.379951477050781,4.112408638000488,30.9599572516705,-52.01238250732422,-23.069732666015625,nan,nan
11,lesion,71,8,315.2969970703125,-130.8000030517578,-379.6972961425781,228.07115173339844,-130800003051757.81,25.502077102661133,17.242523193359375,-201.1002655029297,-106.80175018310547
11,rtn,71,8,315.2969970703125,-15.200469970703125,-7.448068141937256,7.455348491668701,-15200469970703.125,-11.966608047485352,-5.01519775390625,nan,nan
11,random,71,8,315.2969970703125,216.00477600097656,169.1757354736328,137.5575408935547,1.2768070751768203,-47.031524658203125,0.237548828125,nan,nan
12,lesion,71,8,329.08953857421875,-123.76760864257812,-405.96197509765625,210.0503387451172,-123767608642578.12,27.45392417907715,12.58355712890625,-195.96041870117188,-128.06610107421875
12,rtn,71,8,329.08953857421875,-12.120279312133789,-0.034916043281555176,11.468886375427246,-12120279312133.79,-13.02297592163086,-4.09716796875,nan,nan
12,random,71,8,329.08953857421875,324.7362060546875,223.54071044921875,183.5218048095703,1.4526938086673797,-28.390338897705078,11.797210693359375,nan,nan
13,lesion,65,8,325.73236083984375,-130.98114013671875,-242.37196350097656,250.17405700683594,-130981140136718.75,26.317352294921875,14.349853515625,-196.35604858398438,-79.37576293945312
13,rtn,65,8,325.73236083984375,-12.855945587158203,-7.661648750305176,4.791298866271973,-12855945587158.203,-10.571532249450684,-3.362060546875,nan,nan
13,random,65,8,325.73236083984375,273.53314208984375,171.05093383789062,176.19117736816406,1.599132702479591,-63.32521438598633,-18.85858154296875,nan,nan
14,lesion,53,8,257.3880920410156,-128.7044219970703,-309.7510681152344,153.72048950195312,-128704421997070.31,27.569677352905273,8.2349853515625,-194.78543090820312,-105.6385726928711
14,rtn,53,8,257.3880920410156,-12.862667083740234,-4.599954605102539,2.983908176422119,-12862667083740.234,-9.96282958984375,-1.5153656005859375,nan,nan
14,random,53,8,257.3880920410156,305.2348327636719,186.8976593017578,194.68263244628906,1.6331656260651792,-41.48395538330078,-19.6785888671875,nan,nan
15,lesion,71,8,376.0347900390625,-123.97187042236328,-352.0871276855469,169.71763610839844,-123971870422363.28,28.859079360961914,24.8465576171875,-194.30560302734375,-166.71974182128906
15,rtn,71,8,376.0347900390625,-9.298910140991211,-4.465002059936523,5.921051979064941,-9298910140991.21,-10.796615600585938,0.11334228515625,nan,nan
15,random,71,8,376.0347900390625,279.3680114746094,153.79258728027344,154.111083984375,1.8165245569702642,-54.09017562866211,-18.7740478515625,nan,nan
