tag,model,calib,n_calib,seqlen,role,layer,d_in,d_out,n_tokens,A_bos,rank1_share_B,norm_x0_sq,lambda,kappa,kappa_iso,sm_check,n_bos_cols90_J,actorder_topJ_overlap,pat_cos_x0_bos,pat_cos_v_bos,pat_cos_rand_bos,pat_bosmass_bos,pat_norm_bos,pat_cos_x0_ord,pat_cos_v_ord,pat_bosmass_ord,pat_norm_ord,nob_pat_cos_x0_bos,nob_pat_cos_v_bos,nob_pat_bosmass_bos,nob_pat_norm_bos,share_S_x0,share_S_v,share_S_rand,share_S_top1,cos_top1_x0,cos_top1_v,n_bos_cols90,colshare_S_bos,colshare_Dnob_bos,normS_over_normDnob,toprow_share_S,toprow_S,share_D_x0,share_D_v,share_D_rand,toprow_share_D,toprow_D,share_C_x0,share_C_v,share_C_rand,share_Eg_x0,share_Eg_v,share_Er_x0,share_Er_v,normD_over_normEr,normC_over_normEr,toprow_share_C,toprow_C,toprow_share_Eg,toprow_Eg,toprow_share_Er,maxabs_W,maxabs_Qg,maxabs_Qnob,n_clip_g,n_clip_nob,n_clip_r,seconds
f_l32_c4,meta-llama/Llama-3.2-3B-Instruct,c4,128,2048,control+3,4,8192,3072,53700,0.000342683,1,0.00652917,0.000116291,4.08453,56.1453,1.00302e-13,1179,0.233249,0.0405874,0.0238034,0.0142019,0.121684,0.6696,0.00392408,0.00770532,0.149018,1.4109,0.0196761,0.0190009,0.120796,0.668805,0.000297586,0.000629003,0.000121177,0.00730617,0.0197995,0.00617372,1179,0.116371,0.126223,0.772837,0.00690783,3039,0.000183313,0.000166157,0.000127154,0.00855392,3039,6.5263e-05,0.000104056,0.000123702,1.48951e-05,8.38545e-05,0.000131525,0.000126584,0.653857,1.43493,0.00714617,3039,0.00649246,3039,0.006058,0.621094,0.624843,0.532366,3140,3137,35411,4.2
f_l32_c4,meta-llama/Llama-3.2-3B-Instruct,c4,128,2048,control+13,14,8192,3072,53700,0.000424708,1,0.0319142,0.000458642,4.76084,69.5841,1.30934e-13,460,0.228261,0.0431527,0.0229745,0.0116198,0.0485629,0.876592,0.00408642,0.0089876,0.0639291,1.62431,0.0155893,0.0248539,0.0470309,0.874659,0.000171719,0.000509265,0.000127243,0.00620849,0.00244956,0.00948557,460,0.0306909,0.0404671,0.822926,0.00578076,3039,0.000137011,0.000143216,0.000117546,0.00937625,3039,5.62578e-05,0.000103853,0.0001216,1.00118e-05,8.71525e-05,0.000116455,0.000123612,0.694522,1.46649,0.00781774,3039,0.00711369,3039,0.00710904,0.671875,0.767857,0.767857,3138,3133,35468,4
f_l3_c4,meta-llama/Meta-Llama-3-8B-Instruct,c4,128,2048,sink,1,14336,4096,53700,0.997588,1,734.915,0.00256938,124488,286028,1.27515e-11,1,1,0.795395,0.360605,0.00662257,0,10.7934,0.159421,0.159266,0,0.490566,0.313446,0.528055,0,2.82715,7.58338e-05,0.00131411,1.69771e-05,0.877723,0.00915828,0.038201,1,0,0,2.84333,0.357825,1384,8.09685e-05,0.00136567,9.77388e-06,0.406435,1384,1.0377e-05,6.07825e-05,3.75329e-05,2.85454e-06,0.000113493,4.61279e-05,7.24591e-05,2.24781,1.85384,0.257082,1384,0.281034,1384,0.00437038,0.632812,6.29959,0.542411,4226,4215,88370,7.8
f_l3_c4,meta-llama/Meta-Llama-3-8B-Instruct,c4,128,2048,control+3,4,14336,4096,53700,0.000195831,1,0.00288359,5.13563e-05,5.88945,56.1488,1.98019e-13,2997,0.291959,0.0281003,0.0191928,0.0114425,0.1718,0.757911,0.00215369,0.00477516,0.216543,1.72304,0.0152011,0.0160954,0.171421,0.757533,0.000142805,0.000289545,6.7647e-05,0.00585687,0.000826762,0.00426536,2997,0.16487,0.180147,0.864289,0.00563483,4055,9.46994e-05,9.43943e-05,6.87107e-05,0.00950097,4055,3.41638e-05,6.23961e-05,7.02551e-05,7.28739e-06,4.90624e-05,7.17085e-05,7.16101e-05,0.735614,1.49175,0.00734811,4055,0.00692162,4055,0.00625869,0.585938,0.502232,0.502232,4161,4168,86390,8.4
f_l3_c4,meta-llama/Meta-Llama-3-8B-Instruct,c4,128,2048,control+15,16,14336,4096,53700,0.000141725,1,0.0114821,0.000282562,4.55104,40.6355,7.71382e-13,1404,0.228632,0.0260917,0.0154463,0.0109804,0.0810254,0.808972,0.00326406,0.00689162,0.0991912,1.85473,0.0146885,0.0153472,0.0807184,0.808368,0.000118199,0.00026704,6.84067e-05,0.00483336,0.0388931,0.0538077,1404,0.0684966,0.0772255,0.855003,0.00460684,4055,6.20538e-05,7.38646e-05,7.25042e-05,0.0109633,4055,3.19962e-05,6.05903e-05,7.14846e-05,1.02418e-05,5.29915e-05,6.93375e-05,6.82297e-05,0.750309,1.50315,0.00698988,4055,0.0071115,4055,0.00473964,0.722656,0.61942,0.61942,4174,4170,88188,8.1
f_l_c4,meta-llama/Llama-3.1-8B-Instruct,c4,128,2048,sink,1,14336,4096,53700,0.998165,1,1102.47,0.00385218,121259,286194,1.79867e-11,1,1,0.834903,0.337707,0.0098342,0,10.8572,0.180244,0.21017,0,0.437466,0.425914,0.605277,0,2.46438,7.95125e-05,0.00110766,1.15167e-05,0.877372,0.00936894,0.0349725,1,0,0,2.84584,0.366788,1384,8.43831e-05,0.00111683,4.1418e-06,0.41688,1384,6.46004e-06,0.00017416,3.65579e-05,3.08443e-06,0.000322546,5.26657e-05,9.98944e-05,2.25245,1.79319,0.25114,1384,0.276411,1384,0.00422485,0.707031,7.25868,0.606027,4272,4251,90085,7.6
f_l_c4,meta-llama/Llama-3.1-8B-Instruct,c4,128,2048,control+3,4,14336,4096,53700,0.000219393,1,0.003864,6.14264e-05,6.40015,62.9045,2.03221e-13,2849,0.286416,0.0297589,0.0205693,0.0110972,0.164197,0.761159,0.00191771,0.00567445,0.205525,1.74602,0.0153479,0.0162678,0.163539,0.760723,0.000145736,0.000320232,6.8274e-05,0.00755308,0.0145466,0.0183225,2849,0.156804,0.171222,0.871998,0.00734325,4055,9.28847e-05,0.000103437,7.16574e-05,0.00946308,4055,3.41134e-05,6.06434e-05,6.70287e-05,6.04732e-06,4.78932e-05,7.20571e-05,7.01818e-05,0.736696,1.49237,0.00719814,4055,0.00688045,4055,0.00618143,0.65625,0.5625,0.5625,4182,4178,89775,8.3
f_l_c4,meta-llama/Llama-3.1-8B-Instruct,c4,128,2048,control+15,16,14336,4096,53700,0.000212379,1,0.0214357,0.000352021,6.55247,60.8933,6.80318e-13,1041,0.235351,0.0307869,0.0185467,0.0104218,0.0593824,0.846572,0.00299806,0.00768374,0.0743801,1.87092,0.0143299,0.0161787,0.0588697,0.845483,0.00014113,0.000315312,6.94311e-05,0.00461265,0.0527376,0.0695371,1041,0.0472013,0.0543361,0.861712,0.0043825,4055,7.06953e-05,8.52541e-05,6.84483e-05,0.0109756,4055,3.27049e-05,5.94451e-05,6.77906e-05,7.4126e-06,5.15794e-05,7.22433e-05,6.92306e-05,0.751806,1.50422,0.00678929,4055,0.00700902,4055,0.00450275,0.808594,0.69308,0.69308,4174,4172,89933,7.6
f_l_c4_cs1,meta-llama/Llama-3.1-8B-Instruct,c4,128,2048,sink,1,14336,4096,59383,0.998001,1,996.961,0.00348409,122519,286147,1.52515e-11,1,1,0.828876,0.335524,0.00791405,0,10.9357,0.179491,0.205635,0,0.452089,0.433761,0.61798,0,2.42192,8.02869e-05,0.00131903,1.24797e-05,0.882263,0.00938821,0.0381442,1,0,0,2.90183,0.368303,1384,8.47282e-05,0.00134151,5.82913e-06,0.416377,1384,6.36582e-06,0.000114868,3.03791e-05,2.87959e-06,0.00022536,5.26657e-05,9.93446e-05,2.24366,1.82063,0.257052,1384,0.281955,1384,0.00422485,0.707031,7.86749,0.606027,4252,4240,90085,7.5
f_l_c4_cs1,meta-llama/Llama-3.1-8B-Instruct,c4,128,2048,control+3,4,14336,4096,59383,0.00020075,1,0.00349421,6.07064e-05,5.56826,57.5591,2.30271e-13,2849,0.292383,0.0294257,0.0207075,0.0110365,0.164813,0.747755,0.00195416,0.00557137,0.204465,1.66191,0.0157413,0.0163815,0.164389,0.747342,0.000140691,0.000308119,6.8235e-05,0.00571788,0.00599118,0.0208703,2849,0.156353,0.170181,0.867917,0.00549725,4055,9.11193e-05,0.000102797,7.0089e-05,0.0094673,4055,3.42863e-05,5.81564e-05,6.77377e-05,6.54426e-06,4.61985e-05,7.2057e-05,7.01733e-05,0.719069,1.48017,0.00734782,4055,0.00670523,4055,0.00618143,0.65625,0.607423,0.606763,4167,4164,89775,8.3
