layer,proj,row,col
1,down_proj,788,257
1,down_proj,788,258
1,down_proj,788,259
1,down_proj,788,260
1,down_proj,788,261
1,down_proj,788,262
1,down_proj,788,263
1,down_proj,788,264
1,down_proj,788,265
1,down_proj,788,266
1,down_proj,788,267
1,down_proj,788,268
1,down_proj,788,269
1,down_proj,788,270
1,down_proj,788,271
1,down_proj,788,272
1,down_proj,788,273
1,down_proj,788,274
1,down_proj,788,275
1,down_proj,788,276
1,down_proj,788,277
1,down_proj,788,278
1,down_proj,788,279
1,down_proj,788,280
1,down_proj,788,281
1,down_proj,788,282
1,down_proj,788,283
1,down_proj,788,284
1,down_proj,788,285
1,down_proj,788,286
1,down_proj,788,287
1,down_proj,788,288
1,down_proj,788,289
1,down_proj,788,290
1,down_proj,788,291
1,down_proj,788,292
1,down_proj,788,293
1,down_proj,788,294
1,down_proj,788,295
1,down_proj,788,296
1,down_proj,788,297
1,down_proj,788,298
1,down_proj,788,299
1,down_proj,788,300
1,down_proj,788,301
1,down_proj,788,302
1,down_proj,788,303
1,down_proj,788,304
1,down_proj,788,305
1,down_proj,788,306
1,down_proj,788,307
1,down_proj,788,308
1,down_proj,788,309
1,down_proj,788,310
1,down_proj,788,311
1,down_proj,788,312
1,down_proj,788,313
1,down_proj,788,314
1,down_proj,788,315
1,down_proj,788,316
1,down_proj,788,317
1,down_proj,788,318
1,down_proj,788,319
1,down_proj,788,320
1,down_proj,788,321
1,down_proj,788,322
1,down_proj,788,323
1,down_proj,788,324
1,down_proj,788,325
1,down_proj,788,326
1,down_proj,788,327
1,down_proj,788,328
1,down_proj,788,329
1,down_proj,788,330
1,down_proj,788,331
1,down_proj,788,332
1,down_proj,788,333
1,down_proj,788,334
1,down_proj,788,335
1,down_proj,788,336
1,down_proj,788,337
1,down_proj,788,338
1,down_proj,788,339
1,down_proj,788,340
1,down_proj,788,341
1,down_proj,788,342
1,down_proj,788,343
1,down_proj,788,344
1,down_proj,788,345
1,down_proj,788,346
1,down_proj,788,347
1,down_proj,788,348
1,down_proj,788,349
1,down_proj,788,350
1,down_proj,788,351
1,down_proj,788,352
1,down_proj,788,353
1,down_proj,788,354
1,down_proj,788,355
1,down_proj,788,356
