layer,head,score
17,7,0.08195912837982178
17,8,0.07102043926715851
17,9,0.24023786187171936
17,10,0.04753033071756363
17,11,0.14474746584892273
17,12,0.06721089780330658
17,13,0.10481658577919006
17,14,0.053759295493364334
17,15,0.06461109966039658
17,16,0.09065205603837967
17,17,0.12217593938112259
17,18,0.06324979662895203
17,19,0.0461893267929554
17,20,0.07096728682518005
17,21,0.14831168949604034
17,22,0.15552878379821777
17,23,0.14627164602279663
17,24,0.1008722186088562
17,25,0.14427700638771057
17,26,0.11098738759756088
17,27,0.15768517553806305
18,0,0.33472588658332825
18,1,0.1739010065793991
18,2,0.1535525918006897
18,3,0.1376897245645523
18,4,0.16044621169567108
18,5,0.18348853290081024
18,6,0.1879562884569168
18,7,0.5361039638519287
18,8,0.2917684316635132
18,9,0.27475473284721375
18,10,0.10443234443664551
18,11,0.15754586458206177
18,12,0.1140516847372055
18,13,0.1682555079460144
18,14,0.16321155428886414
18,15,0.17276427149772644
18,16,0.11509930342435837
18,17,0.35631877183914185
18,18,0.1615910679101944
18,19,0.1470148116350174
18,20,0.22400280833244324
18,21,0.18107102811336517
18,22,0.1463174670934677
18,23,0.08395672589540482
18,24,0.15449857711791992
18,25,0.4140804409980774
18,26,0.11225104331970215
18,27,0.1693935990333557
19,0,0.5585300922393799
19,1,0.1421775072813034
19,2,0.3673619031906128
19,3,0.14931388199329376
19,4,0.41277560591697693
19,5,0.20619067549705505
19,6,0.3707795739173889
19,7,0.1552991420030594
19,8,0.16447369754314423
19,9,0.14470018446445465
19,10,0.18365080654621124
19,11,0.24331915378570557
19,12,0.16041617095470428
19,13,0.18997113406658173
19,14,0.1699092835187912
19,15,0.1247188076376915
19,16,0.21265706419944763
19,17,0.1544790416955948
19,18,0.10109031945466995
19,19,0.1887393444776535
19,20,0.22020761668682098
19,21,0.14729192852973938
19,22,0.2146502137184143
19,23,0.243032306432724
19,24,0.18025442957878113
19,25,0.15562112629413605
19,26,0.22275160253047943
19,27,0.2041158527135849
20,0,0.1834167093038559
20,1,0.3069394826889038
20,2,0.37179556488990784
20,3,0.21762774884700775
20,4,0.2294364720582962
20,5,0.22912682592868805
20,6,0.18908381462097168
20,7,0.18881016969680786
20,8,0.11167288571596146
20,9,0.1046828031539917
20,10,0.1482490450143814
20,11,0.12589362263679504
20,12,0.07938693463802338
20,13,0.1438603699207306
20,14,0.20053325593471527
20,15,0.197324737906456
20,16,0.17104430496692657
20,17,0.16250497102737427
20,18,0.2373090535402298
20,19,0.1363890916109085
20,20,0.20098601281642914
20,21,0.18142850697040558
20,22,0.24280451238155365
20,23,0.19133912026882172
20,24,0.18071769177913666
20,25,0.1926325410604477
20,26,0.1352171152830124
20,27,0.24789711833000183
21,0,0.2979167401790619
21,1,0.2514466643333435
21,2,0.13038527965545654
21,3,0.15846461057662964
21,4,0.3128452003002167
21,5,0.21001198887825012
21,6,0.4046649634838104
21,7,0.16728618741035461
21,8,0.23172645270824432
21,9,0.1492091417312622
21,10,0.20138248801231384
21,11,0.1946624368429184
21,12,0.20353031158447266
21,13,0.10292793065309525
21,14,0.18268916010856628
21,15,0.4507678747177124
21,16,0.3269500434398651
21,17,0.31483030319213867
21,18,0.22627060115337372
21,19,0.30958092212677
21,20,0.3066009283065796
21,21,0.29479509592056274
